Vocab,Pinyin,Meaning,Example,Example_Meaning
消防,xiāo fáng,firefighting; fire control,消防演习开始了。,The fire drill has started.
消失,xiāo shī,to disappear; to fade away,他忽然消失了。,He suddenly disappeared.
消息,xiāo xi,news; information,有最新消息吗？,Do you have any new news?
销售,xiāo shòu,"to sell; to market; sales (representative, agreement etc)",我做销售。,I work in sales.
小,xiǎo,small; tiny; few; young,这朵花很小。,This flower is very small.
小姐,xiǎo jie,young lady; miss; (slang) prostitute,那位小姐是谁？,Who is that young lady?
小时,xiǎo shí,hour,我等了你一小时。,I waited for you for an hour.
小时候,xiǎo shí hou,in one's childhood,小时候我喜欢玩。,I liked playing in my childhood.
小说,xiǎo shuō,novel; fiction,我喜欢看小说。,I like reading novels.
小心,xiǎo xīn,to be careful; to take care,走路小心点。,Be careful when walking.
小学,xiǎo xué,elementary school; primary school,我妹妹上小学。,My younger sister goes to elementary school.
小组,xiǎo zǔ,group,我们是一个小组。,We are a group.
效果,xiào guǒ,result; effect; efficacy; (theater) sound or visual effects,这个药效果很好。,The medicine works very well.
校长,xiào zhǎng,"(college, university) president; headmaster",我想见校长。,I want to see the headmaster.
笑,xiào,old variant of 笑,别笑我。,Don't laugh at me.
笑容,xiào róng,smile; smiling expression,你的笑容很甜。,Your smile is very sweet.
些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",买些苹果吧。,Buy some apples.
协会,xié huì,an association; a society,我加入了摄影协会。,I joined the photography association.
协议,xié yì,agreement; pact; protocol,我们签了协议。,We signed an agreement.
协助,xié zhù,to provide assistance; to aid,你能协助我吗？,Can you assist me?
鞋,xié,shoe,这双鞋多少钱？,How much is this pair of shoes?
写,xiě,to write,你写什么？,What are you writing?
谢谢,xiè xie,to thank; thanks; thank you,谢谢你的帮助。,Thank you for your help.
心,xīn,heart; mind; intention; center; core,我心里很高兴。,I am very happy.
心里,xīn li,chest; heart; mind,我心里很高兴。,I feel very happy inside.
心理,xīn lǐ,psychology; mentality,心理很重要。,Mentality is very important.
心灵,xīn líng,bright; smart; quick-witted; heart; thoughts; spirit,他有一颗善良的心灵。,He has a kind heart.
心情,xīn qíng,mood; frame of mind,我今天心情很好。,I'm in a good mood today.
心脏,xīn zàng,heart,我的心脏很好。,My heart is fine.
心中,xīn zhōng,central point; in one's thoughts; in one's heart,我心中只有你。,You are the only one in my heart.
辛苦,xīn kǔ,exhausting; hard; tough; arduous; to work hard; to go to a lot of trouble; hardship(s),你辛苦了。,You've worked hard.
欣赏,xīn shǎng,to appreciate; to enjoy; to admire,我喜欢欣赏音乐。,I like to appreciate music.
新,Xīn,abbr. for Xinjiang 疆 or Singapore 坡; surname Xin,我买了一本新书。,I bought a new book.
新年,xīn nián,New Year,新年快乐！,Happy New Year!
新闻,xīn wén,news,今天有新闻吗？,Is there any news today?
新鲜,xīn xiān,"fresh (experience, food etc); freshness; novel; uncommon",这苹果很新鲜。,The apples are fresh.
信,xìn,letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random,我信你。,I trust you.
信号,xìn hào,signal,手机没信号。,The phone has no signal.
信任,xìn rèn,to trust; to have confidence in,我们互相信任。,We trust each other.
信息,xìn xī,information; news; message,请发信息给我。,Please send me a message.
信心,xìn xīn,confidence; faith (in sb or sth),我有信心。,I have confidence.
信仰,xìn yǎng,to believe in (a religion); firm belief; conviction,他有自己的信仰。,He has his own beliefs.
信用卡,xìn yòng kǎ,credit card,我用信用卡付款。,I pay with a credit card.
星期,xīng qī,week; day of the week; Sunday,今天星期几？,What day is today?
行,háng,"row; line; commercial firm; line of business; profession; to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column",他干哪一行？,What line of work is he in?
行动,xíng dòng,operation; action; to move about; mobile,我们马上行动。,We will take action right away.
行为,xíng wéi,action; conduct; behavior; activity,这种行为不对。,This behavior is wrong.
行业,háng yè,trade; profession; industry; business,你在哪个行业工作？,Which industry do you work in?
行政,xíng zhèng,administration; (attributive) administrative; executive,我在行政部工作。,I work in the administrative department.
形,xíng,to appear; to look; form; shape,这字形真好看。,This character's shape looks really nice.
形成,xíng chéng,to form; to take shape,习惯形成了。,A habit has formed.
形式,xíng shì,outer appearance; form; shape; formality,这只是形式。,It's just a formality.
形势,xíng shì,circumstances; situation; terrain,当前形势很好。,The current situation is good.
形象,xíng xiàng,image; form; figure; visualization; vivid,他的形象很好。,His image is good.
型,xíng,mold; type; style; model,我喜欢这款发型。,I like this hairstyle.
醒,xǐng,to wake up; to be awake; to become aware; to sober up; to come to,我醒了。,I woke up.
醒来,xǐng lái,to waken,我刚醒来。,I just woke up.
兴奋,xīng fèn,excited; excitement; (physiology) excitation,听到这个消息很兴奋。,Very excited hearing the news.
兴趣,xìng qù,interest (desire to know about sth); interest (thing in which one is interested); hobby,我的兴趣是读书。,My hobby is reading.
姓,xìng,family name; surname; to be surnamed,你姓什么？,What is your surname?
幸福,xìng fú,happiness; happy; blessed,我很幸福。,I am very happy.
幸运,xìng yùn,fortunate; lucky; fortune; luck,我很幸运。,I am very lucky.
性,xìng,"nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence",他性格很好。,He has a good personality.
性感,xìng gǎn,sex appeal; eroticism; sexuality; sexy,这件衣服很性感。,This outfit is very sexy.
性格,xìng gé,nature; disposition; temperament; character,他性格很好。,He has a good personality.
兄弟,xiōng dì,"brothers; younger brother; I, me (humble term used by men in public speech); brotherly; fraternal",他是我的好兄弟。,He is my good brother.
胸,xiōng,variant of 胸,我胸口疼。,My chest hurts.
熊,Xióng,surname Xiong,我姓熊。,My surname is Xiong.
休息,xiū xi,rest; to rest,我想休息。,I want to rest.
修,Xiū,surname Xiu,我朋友姓修。,My friend's surname is Xiu.
修改,xiū gǎi,to amend; to alter; to modify,请修改这篇文章。,Please modify this article.
需,xū,to require; to need; to want; necessity; need,我需要帮助。,I need help.
需求,xū qiú,requirement; to require; (economics) demand,你有什么需求？,What are your requirements?
需要,xū yào,to need; to want; to demand; to require; needs,我需要帮忙。,I need help.
许,Xǔ,surname Xu,我姓许。,My surname is Xu.
许多,xǔ duō,many; a lot of; much,这里有许多人。,There are many people here.
宣布,xuān bù,to declare; to announce; to proclaim,妈妈宣布开饭了。,Mom announced dinner is ready.
宣传,xuān chuán,to disseminate; to give publicity to; propaganda,他在宣传新书。,He is promoting a new book.
选,xuǎn,to choose; to pick; to select; to elect,我选红色。,I choose red.
选举,xuǎn jǔ,to elect; election,我们明天选举班长。,We will elect a class monitor tomorrow.
选手,xuǎn shǒu,athlete; contestant,这位选手赢了。,This contestant won.
选择,xuǎn zé,to select; to pick; choice; option; alternative,你的选择是什么？,What is your choice?
学,xué,to learn; to study; to imitate; science; -ology,今天学什么？,What are we learning today?
学会,xué huì,to learn; to master; institute; learned society; (scholarly) association,我学会游泳了。,I learned to swim.
学生,xué sheng,student; schoolchild,我是学生。,I am a student.
学习,xué xí,to learn; to study,我喜欢学习中文。,I like learning Chinese.
学校,xué xiào,school,学校在哪儿？,Where is the school?
学院,xué yuàn,college; educational institute; school; faculty,学院离我家很近。,The college is close to my home.
雪,Xuě,surname Xue,今天下雪了。,It's snowing today.
血,xuè,blood; colloquial pr. [xiě],我流了一点血。,I bled a little.
血液,xuè yè,blood,他的血液有问题。,His blood has problems.
勋章,xūn zhāng,medal; decoration,我得到了一枚勋章。,I got a medal.
寻,xún,to search; to look for; to seek,我在寻钥匙。,I'm looking for my keys.
寻求,xún qiú,to seek; to look for,我想寻求帮助。,I want to seek help.
寻找,xún zhǎo,to seek; to look for,我在寻找钥匙。,I am looking for my keys.
询问,xún wèn,to inquire,我想询问价格。,I want to inquire about the price.
迅速,xùn sù,rapid; speedy; fast,他迅速跑开了。,He ran away quickly.
训练,xùn liàn,to train; to drill; training,我们每天训练。,We train every day.
压,yā,to press; to push down; to keep under (control); pressure,请压一下按钮。,Press the button.
压力,yā lì,pressure,别给自己压力。,Don't put too much pressure on yourself.
牙,yá,tooth; ivory,我牙疼。,I have a toothache.
亚洲,Yà zhōu,Asia (abbr. for 亚细亚洲),我住在亚洲。,I live in Asia.
呀,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",原来是你呀！,"Oh, it's you!"
烟,yān,cigarette or pipe tobacco; smoke; mist; vapour; tobacco plant; (of the eyes) to be irritated by smoke,屋里全是烟。,The room is full of smoke.
严格,yán gé,strict; stringent; tight; rigorous,老师很严格。,The teacher is very strict.
严肃,yán sù,solemn; grave; serious; earnest; severe,老师很严肃。,The teacher is very serious.
严重,yán zhòng,grave; serious; severe; critical,病情很严重。,The illness is very serious.
研究,yán jiū,research; a study; to research; to look into,我想研究这个。,I want to research this.
盐,yán,salt,请给我一点盐。,Please give me some salt.
颜色,yán sè,color; countenance; appearance; facial expression; pigment; dyestuff,我喜欢这个颜色。,I like this color.
眼,yǎn,"eye; small hole; crux (of a matter); classifier for big hollow things (wells, stoves, pots etc)",针上有个眼。,The needle has a small hole.
眼镜,yǎn jìng,spectacles; eyeglasses,我忘带眼镜了。,I forgot to bring my glasses.
眼睛,yǎn jing,eye,请闭上眼睛。,Please close your eyes.
眼泪,yǎn lèi,tears; crying,别流眼泪。,Don't cry.
眼前,yǎn qián,before one's eyes; now; at present,幸福就在眼前。,Happiness is right in front of you.
眼神,yǎn shén,expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (dialect),别用那种眼神看我。,Don't look at me with that expression.
演,yǎn,to develop; to evolve; to practice; to perform; to play; to act,她喜欢演戏。,She likes acting.
演唱,yǎn chàng,sung performance; to sing for an audience,她今晚要演唱一首歌。,She will sing a song tonight.
演唱会,yǎn chàng huì,vocal recital or concert,我想去演唱会。,I want to go to a concert.
演出,yǎn chū,to act (in a play); to perform; to put on (a performance); performance; concert; show,今晚有演出吗？,Is there a show tonight?
演讲,yǎn jiǎng,lecture; to make a speech,他明天要演讲。,He will give a speech tomorrow.
演员,yǎn yuán,actor or actress; performer,我想当演员。,I want to be an actor.
羊,Yáng,surname Yang,他姓羊。,His surname is Yang.
阳光,yáng guāng,sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny),今天阳光真好。,The sunshine is really nice today.
养,yǎng,to raise (animals); to bring up (children); to keep (pets); to support; to give birth,我养了一只猫。,I keep a cat.
样,yàng,"manner; pattern; way; appearance; shape; classifier: kind, type",你长什么样？,What do you look like?
样子,yàng zi,appearance; manner; pattern; model,这包的样子不错。,This bag's style is nice.
腰,yāo,waist; lower back; pocket; middle; loins,我腰疼。,My waist hurts.
邀请,yāo qǐng,to invite; invitation,他邀请我去吃饭。,He invited me to dinner.
摇,Yáo,surname Yao,别摇椅子。,Don't shake the chair.
咬,yǎo,to bite; to nip,蚊子咬我。,A mosquito bit me.
药,yào,leaf of the iris; variant of 药,吃药了吗？,Did you take your medicine?
药品,yào pǐn,medicaments; medicine; drug,这些药品很便宜。,These medicines are cheap.
药物,yào wù,medicaments; pharmaceuticals; medication; medicine; drug,这种药物有效。,This medicine is effective.
要,yāo,(bound form) to demand; to coerce,他向我要钱。,He demanded money from me.
要不,yào bù,otherwise; or else; how about...?; either... (or...),要不我们走吧？,How about we leave?
要么,yào me,or; either one or the other,要么喝茶，要么喝咖啡。,Either drink tea or coffee.
要求,yāo qiú,to request; to require; requirement; to stake a claim; to ask; to demand,你的要求是什么？,What is your requirement?
要是,yào shi,(coll.) if,要是下雨，我就不去了。,"If it rains, I won't go."
钥匙,yào shi,key,我的钥匙在哪？,Where is my key?
也,Yě,surname Ye,我也喜欢喝茶。,I also like drinking tea.
也就是说,yě jiù shì shuō,in other words; that is to say; so; thus,他迟到，也就是说没来。,That means he didn't come.
也许,yě xǔ,perhaps; maybe,也许他会来。,Maybe he will come.
野,yě,old variant of 野,我们去野外吧。,Let's go to the outdoors.
业,Yè,surname Ye,我姓业。,My surname is Ye.
业务,yè wù,business; professional work; service,我负责新业务。,I handle the new business.
页,xié,head,请翻到下一页。,Please turn to the next page.
夜,yè,variant of 夜,夜里风很大。,The wind is strong at night.
夜晚,yè wǎn,night,我喜欢夜晚。,I like the night.
爷爷,yé ye,(coll.) father's father; paternal grandfather,爷爷在家吗？,Is grandpa at home?
一,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit",我有一个苹果。,I have an apple.
一般,yī bān,same; ordinary; so-so; common; general; generally; in general,他的成绩一般。,His grades are so-so.
一半,yī bàn,half,我吃了一半苹果。,I ate half an apple.
一辈子,yī bèi zi,(for) a lifetime,我想陪你一辈子。,I want to stay with you for a lifetime.
一边,yī biān,one side; either side; on the one hand; on the other hand; doing while,他一边吃饭一边看书。,He eats while reading.
一旦,yī dàn,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day",一旦下雨我就回家。,"Once it rains, I'll go home."
一定,yī dìng,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,我一定去。,I will definitely go.
一番,yì fān,Some,他做了一番努力。,He made some effort.
一会儿,yī huì r,a moment; a while; in a moment; now...now...; also pr. [yī huǐ r],我一会儿来。,I'll come in a moment.
一句话,yī jù huà,in a word; in short,一句话，很简单。,"In short, it's very simple."
一路,yī lù,the whole journey; all the way; going the same way; going in the same direction; of the same kind,他一路走回家。,He walked home all the way.
一面,yī miàn,one side; one aspect; simultaneously... (and...); one's whole face,他一面走一面笑。,He walks and smiles at the same time.
一起,yī qǐ,in the same place; together; with; altogether (in total),我们一起去吃饭。,Let's go eat together.
一切,yī qiè,everything; every; all,别担心，一切都会好的。,"Don't worry, everything will be fine."
一生,yī shēng,all one's life; throughout one's life,我想用一生学习。,I want to study all my life.
一时,yī shí,a period of time; a while; for a short while; temporary; momentary; at the same time,我一时忘了。,I forgot for a moment.
一些,yī xiē,some; a few; a little; (following an adjective) slightly ...er,我想买一些苹果。,I want to buy some apples.
一样,yī yàng,same; like; equal to; the same as; just like,我们俩一样。,We are the same.
一一,yī yī,one by one; one after another,大家一一排队。,Everyone lines up one by one.
一阵,yī zhèn,a burst; a fit; a peal; a spell (period of time),刚才刮了一阵风。,There was a gust of wind just now.
一直,yī zhí,straight (in a straight line); continuously; always; all the way through,他一直在学习。,He has been studying continuously.
一致,yī zhì,unanimous; identical (views or opinions),我们意见一致。,Our opinions are the same.
衣服,yī fu,clothes,我的衣服很漂亮。,My clothes are very pretty.
医疗,yī liáo,medical treatment,这里的医疗很好。,Medical treatment here is good.
医生,yī shēng,doctor,我是医生。,I am a doctor.
医学,yī xué,medicine; medical science; study of medicine,我想学医学。,I want to study medicine.
医院,yī yuàn,hospital,明天去医院。,I will go to the hospital tomorrow.
依,yī,to depend on; to comply with or listen to sb; according to; in the light of,依我看，这样好。,"In my opinion, this is better."
依靠,yī kào,to rely on sth (for support etc); to depend on,我依靠父母生活。,I rely on my parents for a living.
依然,yī rán,still; as before,我依然记得。,I still remember.
仪式,yí shì,ceremony,今天的仪式很简单。,Today's ceremony is very simple.
移,yí,to move; to shift; to change; to alter; to remove,请把椅子移开。,Please move the chair away.
移动,yí dòng,to move; movement; migration; mobile; portable,请移动一下椅子。,Please move the chair.
遗憾,yí hàn,regret; to regret; to be sorry that,我很遗憾不能去。,I'm sorry I can't go.
已,yǐ,already; to stop; then; afterwards,我已到了。,I'm already here.
已经,yǐ jīng,already,我已经吃饭了。,I have already eaten.
以,yǐ,old variant of 以,我以手机付款。,I pay by phone.
以后,yǐ hòu,after; later; afterwards; following; later on; in the future,以后常联系。,Keep in touch in the future.
以及,yǐ jí,as well as; too; and,我带了书以及笔。,I brought a book as well as a pen.
以来,yǐ lái,since (a previous event),毕业以来，我很忙。,"Since graduation, I've been busy."
以前,yǐ qián,before; formerly; previous; ago,我以前住北京。,I used to live in Beijing.
以上,yǐ shàng,that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) That is all.,十八岁以上可以参加。,Those eighteen and older can join.
以外,yǐ wài,apart from; other than; except for; external; outside of; on the other side of; beyond,他以外，还有谁？,"Apart from him, who else?"
以为,yǐ wéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.),我以为今天下雨。,I thought it would rain today.
以下,yǐ xià,that level or lower; that amount or less; the following,十元以下免费。,Ten yuan or less is free.
义务,yì wù,duty; obligation; volunteer (work etc),这是我的义务。,This is my duty.
亿,yì,100 million,他赚了一亿块钱。,He earned one hundred million yuan.
艺术,yì shù,art,我喜欢艺术。,I like art.
亦,yì,also,我亦想去。,I also want to go.
异常,yì cháng,unusual; abnormal; extremely; exceptionally,今天天气异常冷。,The weather is extremely cold today.
意见,yì jiàn,idea; opinion; suggestion; objection; complaint,你有什么意见？,Do you have any suggestions?
意识,yì shí,consciousness; awareness; to be aware; to realize,我意识到错了。,I realized I was wrong.
意思,yì si,"idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; to give as a small token; to do sth as a gesture of goodwill etc",一点小意思。,Just a small token.
意外,yì wài,unexpected; accident; mishap,这真是个大意外。,This is really unexpected.
意味着,yì wèi zhe,to signify; to mean; to imply,这意味着什么？,What does this mean?
意义,yì yì,sense; meaning; significance; importance,这有什么意义？,What's the meaning of this?
因,yīn,old variant of 因,我因忙没去。,I didn't go because I was busy.
因此,yīn cǐ,thus; consequently; as a result,他病了，因此没来。,"He was sick, so he didn't come."
因素,yīn sù,element; factor,天气是重要因素。,Weather is an important factor.
因为,yīn wèi,because; owing to; on account of,因为下雨，我不去。,"Because it's raining, I won't go."
音乐,yīn yuè,music,我喜欢音乐。,I like music.
银,yín,silver; silver-colored; relating to money or currency,这枚戒指是银的。,This ring is silver.
银行,yín háng,bank,我去银行。,I go to the bank.
引,yǐn,"to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈, one-thirtieth of a km or 33.33 meters",他引着我去参观。,He led me around.
引导,yǐn dǎo,to guide; to lead (around); to conduct; to boot; introduction; primer,请引导客人入座。,Please guide the guests to their seats.
引发,yǐn fā,to lead to; to trigger; to initiate; to cause; to evoke (emotions),他的话引发了争吵。,His words caused an argument.
引起,yǐn qǐ,to give rise to; to lead to; to cause; to arouse,这引起了很多问题。,This caused many problems.
饮料,yǐn liào,drink; beverage,我想喝饮料。,I want to drink a beverage.
隐藏,yǐn cáng,to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting),他喜欢隐藏在沙发下。,He likes to hide under the sofa.
印,Yìn,surname Yin; abbr. for 度,他姓印。,His last name is Yin.
印象,yìn xiàng,impression (sth that stays in one's mind); a memory,第一印象很重要。,First impressions are important.
应,Yīng,surname Ying; Taiwan pr. [Yìng],你姓应吗？,Is your surname Ying?
应当,yīng dāng,should; ought to,你应当早点休息。,You should get some rest early.
应该,yīng gāi,ought to; should; must,你应该早点休息。,You should rest early.
英雄,yīng xióng,hero,他是我们的英雄。,He is our hero.
英语,Yīng yǔ,English (language),你会说英语吗？,Can you speak English?
婴儿,yīng ér,infant; baby; lead (Pb),这个婴儿很可爱。,This baby is very cute.
赢,yíng,to beat; to win; to profit,我们赢了比赛。,We won the match.
赢得,yíng dé,to win; to gain,他赢得了比赛。,He won the match.
影片,yǐng piàn,a copy of a film; film; motion picture; movie,这部影片很好看。,This movie is very good.
影响,yǐng xiǎng,influence; effect; to influence; to affect (usually adversely); to disturb,别影响我工作。,Don't affect my work.
硬,yìng,hard; stiff; solid; (fig.) strong; firm; resolutely; uncompromisingly; laboriously; with great difficulty; good (quality); able (person); (of food) filling; substantial,这面包太硬了。,This bread is too hard.
拥抱,yōng bào,to embrace; to hug,我想拥抱你。,I want to hug you.
拥有,yōng yǒu,to have; to possess,我拥有很多书。,I have many books.
永远,yǒng yuǎn,forever; eternal,我永远爱你。,I will always love you.
勇敢,yǒng gǎn,brave; courageous,你真勇敢！,You are very brave!
勇气,yǒng qì,courage; valor,我需要勇气。,I need courage.
用,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,我用手机上网。,I use my phone to browse the internet.
用来,yòng lái,to be used for,钥匙用来开门。,Keys are used to open doors.
用于,yòng yú,to use in; to use on; to use for,这笔钱用于买书。,This money is used to buy books.
优势,yōu shì,superiority; dominance; advantage,他的优势是英语。,His advantage is English.
优秀,yōu xiù,outstanding; excellent,她是个优秀的学生。,She is an excellent student.
尤其,yóu qí,especially; particularly,我喜欢水果，尤其苹果。,"I like fruit, especially apples."
由,yóu,to follow; from; because of; due to; by; via; through; (before a noun and a verb) it is for ... to ...,这事由我负责。,I will be responsible for this.
由于,yóu yú,due to; as a result of; thanks to; owing to; since; because,由于下雨，我没去。,"Because of the rain, I didn't go."
邮件,yóu jiàn,mail; post; email,我发了一封邮件。,I sent an email.
油,yóu,"oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning",这汤太油了。,This soup is too oily.
游,Yóu,surname You,你好，我姓游。,"Hello, my surname is You."
游戏,yóu xì,game; to play,我喜欢玩游戏。,I like playing games.
游泳,yóu yǒng,swimming; to swim,我喜欢游泳。,I like swimming.
有,yǒu,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional),我有一本书。,I have a book.
有的,yǒu de,(there are) some (who are...); some (exist),有的人喜欢喝茶。,Some people like drinking tea.
有关,yǒu guān,to have sth to do with; to relate to; related to; to concern; concerning,这跟钱有关。,This is related to money.
有趣,yǒu qù,interesting; fascinating; amusing,这本书很有趣。,This book is interesting.
有人,yǒu rén,someone; people; anyone; there is someone there; occupied (as in restroom),有人敲门。,Someone is knocking on the door.
有时,yǒu shí,sometimes; now and then,我有时喝咖啡。,I sometimes drink coffee.
有时候,yǒu shí hou,sometimes,有时候我想家。,Sometimes I miss home.
有所,yǒu suǒ,somewhat; to some extent,情况有所改善。,The situation has somewhat improved.
有效,yǒu xiào,effective; in effect; valid,这个方法很有效。,This method is very effective.
有些,yǒu xiē,some; somewhat,我有些累了。,I'm somewhat tired.
有意思,yǒu yì si,interesting; meaningful; enjoyable; fun,这本书很有意思。,This book is very interesting.
有着,yǒu zhe,to have; to possess,他有着好习惯。,He has good habits.
又,yòu,(once) again; also; both... and...; and yet; (used for emphasis) anyway,他又迟到了。,He is late again.
右,yòu,(bound form) right; right-hand side; (bound form) (politics) right of center; (bound form) (old) west; (literary) the right side as the side of precedence,请往右走。,Please walk to the right.
右边,yòu bian,"right side; right, to the right",书在右边。,The book is on the right.
诱惑,yòu huò,to entice; to lure; to induce; to attract,金钱诱惑了他。,Money tempted him.
友好,Yǒu hǎo,"Youhao district of Yichun city 市, Heilongjiang",他们很友好。,They are very friendly.
友谊,yǒu yì,companionship; fellowship; friendship,我们珍惜这份友谊。,We cherish this friendship.
于,Yú,surname Yu,于老师来了。,Teacher Yu is here.
于是,yú shì,thereupon; as a result; consequently; thus; hence,下雨了，于是我不出门。,So I didn't go out.
鱼,Yú,surname Yu,他姓鱼。,His surname is Yu.
娱乐,yú lè,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,我喜欢娱乐。,I like entertainment.
愉快,yú kuài,cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted,今天真愉快。,Today was really pleasant.
与,yú,variant of 欤,此事甚好与？,"That's very good, isn't it?"
宇宙,yǔ zhòu,universe; cosmos,宇宙很大。,The universe is very big.
雨,yǔ,rain,今天下雨了。,It's raining today.
语言,yǔ yán,language,我喜欢学语言。,I like learning languages.
玉米,yù mǐ,corn; maize,我喜欢吃玉米。,I like to eat corn.
预测,yù cè,to forecast; to predict,你能预测天气吗？,Can you predict the weather?
预计,yù jì,to forecast; to predict; to estimate,预计明天会下雨。,It is expected to rain tomorrow.
预算,yù suàn,budget,我的预算不够。,My budget isn't enough.
遇,Yù,surname Yu,我遇见过他。,I have met him before.
遇到,yù dào,to meet; to run into; to come across,我昨天遇到朋友了。,I met a friend yesterday.
遇见,yù jiàn,to meet,我遇见了朋友。,I met a friend.
元,Yuán,surname Yuan; the Yuan or Mongol dynasty (1279-1368),我姓元。,My surname is Yuan.
员,yuán,person; employee; member,他是新成员。,He is a new member.
员工,yuán gōng,staff; personnel; employee,公司有很多员工。,The company has many employees.
原,Yuán,surname Yuan; (Japanese surname) Hara,原老师来了。,Teacher Yuan is here.
原本,yuán běn,originally; original,我原本想去。,I originally wanted to go.
原来,yuán lái,"original; former; originally; formerly; at first; so, actually, as it turns out",原来是你啊。,So it's you!
原谅,yuán liàng,to excuse; to forgive; to pardon,请原谅我。,Please forgive me.
原因,yuán yīn,cause; origin; root cause; reason,我不知道原因。,I don't know the reason.
原则,yuán zé,principle; doctrine,这是我的原则。,That's my principle.
圆,yuán,circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie),今晚的月亮真圆。,The moon is so round tonight.
远,yuǎn,far; distant; remote; (intensifier in a comparison) by far; much (lower etc),学校离我家很远。,The school is far from my home.
远离,yuǎn lí,to be far from; to keep away from,请远离危险。,Please stay away from danger.
远远,yuǎn yuǎn,distant; by far,他远远地看着我。,He watched me from a distance.
院,yuàn,courtyard; institution,我们在院子里玩。,We play in the courtyard.
愿,yuàn,honest; prudent; variant of 愿,愿你每天开心。,May you be happy every day.
愿望,yuàn wàng,desire; wish,我有一个小愿望。,I have a small wish.
愿意,yuàn yì,to wish; to want; ready; willing (to do sth),你愿意去吗？,Are you willing to go?
约,yāo,to weigh in a balance or on a scale,请帮我约两斤。,Please weigh two jin for me.
约会,yuē huì,appointment; engagement; date; to arrange to meet,今晚去约会吧。,Let's go on a date tonight.
月,yuè,moon; month; monthly,今晚的月亮真美。,The moon is so beautiful tonight.
越,Yuè,generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南,他是越人。,He is Vietnamese.
越来越,yuè lái yuè,more and more,天气越来越热。,The weather is getting hotter and hotter.
晕,yūn,confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out,我有点晕。,I'm a bit dizzy.
云,yún,(classical) to say,古人云：“知足常乐。”,"The ancients say, ""Contentment brings happiness."""
允许,yǔn xǔ,to permit; to allow,这里不允许拍照。,No photos allowed here.
运,yùn,to move; to transport; to use; to apply; fortune; luck; fate,你的运气真好。,You're so lucky.
运动,yùn dòng,to move; to exercise; sports; exercise; motion; movement; campaign,我喜欢运动。,I like to exercise.
运动员,yùn dòng yuán,athlete,我想当运动员。,I want to be an athlete.
运气,yùn qi,luck (good or bad),今天运气真好。,My luck is really good today.
运输,yùn shū,to transport; to carry; transportation,我们每天运输货物。,We transport goods every day.
运行,yùn xíng,to move along one's course (of celestial bodies etc); (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run,电脑运行正常。,The computer is running normally.
运用,yùn yòng,to use; to put to use,我会运用这个技巧。,I will use this technique.
运作,yùn zuò,to operate; operations; workings; activities (usu. of an organization); thread (computing),公司运作很顺利。,The company runs smoothly.
杂志,zá zhì,magazine,我喜欢看杂志。,I like reading magazines.
砸,zá,to smash; to pound; to fail; to muck up; to bungle,他把花瓶砸了。,He smashed the vase.
再,zài,"again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)",请再试一次。,Please try again.
再次,zài cì,one more time; again; one more; once again,我想再次试试。,I want to try again.
再见,zài jiàn,goodbye; see you again later,我们明天再见。,See you tomorrow.
再说,zài shuō,to say again; to put off a discussion until later; moreover; what's more; besides,明天再说吧。,Let's talk about it tomorrow.
在,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),我在家。,I am at home.
