Vocab,Pinyin,Meaning,Example,Example_Meaning
位,wèi,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential,,
位于,wèi yú,to be located at; to be situated at; to lie,,
位置,wèi zhi,position; place; seat,,
味道,wèi dao,flavor; taste; (fig.) feeling (of ...); sense (of ...); hint (of ...); (fig.) interest; delight; (dialect) smell; odor,,
胃,wèi,stomach,,
喂,wéi,hello (when answering the phone),,
温度,wēn dù,temperature,,
温暖,wēn nuǎn,warm,,
温柔,wēn róu,gentle and soft; tender; sweet (commonly used to describe a girl or woman),,
文,Wén,surname Wen,,
文化,wén huà,culture; civilization; cultural,,
文件,wén jiàn,document; file,,
文明,wén míng,civilized; civilization; culture,,
文章,wén zhāng,article; essay; literary works; writings; hidden meaning,,
闻,Wén,surname Wen,,
吻,wěn,kiss; to kiss; mouth,,
稳,wěn,settled; steady; stable,,
稳定,wěn dìng,steady; stable; stability; to stabilize; to pacify,,
问,wèn,to ask; to inquire,,
问题,wèn tí,question; problem; issue; topic,,
我,wǒ,I; me; my,,
我们,wǒ men,we; us; ourselves; our,,
污染,wū rǎn,to pollute; to contaminate (lit. and fig.),,
屋,wū,(bound form) house; (bound form) room,,
无,wú,not to have; no; none; not; to lack; un-; -less,,
无比,wú bǐ,incomparable; matchless,,
无法,wú fǎ,unable; incapable,,
无关,wú guān,unrelated; having nothing to do (with sth else),,
无聊,wú liáo,bored; boring; senseless,,
无论,wú lùn,no matter what or how; regardless of whether...,,
无数,wú shù,countless; numberless; innumerable,,
无疑,wú yí,undoubtedly; without doubt; for sure,,
五,wǔ,five; 5,,
武器,wǔ qì,weapon; arms,,
武装,wǔ zhuāng,arms; equipment; to arm; military; armed (forces),,
舞,wǔ,to dance; to wield; to brandish,,
舞蹈,wǔ dǎo,dance (performance art); dancing,,
舞台,wǔ tái,(lit. and fig.) stage; arena,,
物品,wù pǐn,articles; goods,,
物质,wù zhì,matter; substance; material; materialistic,,
吸,xī,to breathe; to suck in; to absorb; to inhale,,
吸引,xī yǐn,to attract; to appeal to; to fascinate,,
希望,xī wàng,to hope; a hope; a wish,,
牺牲,xī shēng,to sacrifice one's life; to sacrifice (sth valued); beast slaughtered as a sacrifice,,
习惯,xí guàn,habit; custom; usual practice; to be used to,,
袭击,xí jī,attack (esp. surprise attack); raid; to attack,,
洗,xǐ,to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording),,
洗澡,xǐ zǎo,to bathe; to take a shower,,
喜欢,xǐ huan,to like; to be fond of,,
戏,xì,variant of 戏,,
系,xì,to connect; to relate to; to tie up; to bind; to be (literary),,
系列,xì liè,series; set,,
系统,xì tǒng,system,,
细,xì,thin or slender; finely particulate; thin and soft; fine; delicate; trifling; (of a sound) quiet; frugal,,
细胞,xì bāo,cell (biology),,
细节,xì jié,details; particulars,,
西,Xī,the West; abbr. for Spain 牙; Spanish,,
西部,xī bù,western part,,
瞎,xiā,blind; groundlessly; foolishly; to no purpose,,
下,xià,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action",,
下班,xià bān,to finish work; to get off work,,
下次,xià cì,next time,,
下降,xià jiàng,to decline; to drop; to fall; to go down; to decrease,,
下来,xià lai,"to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)",,
下面,xià miàn,below; under; next; the following; also pr. [xià mian],,
下去,xià qù,to go down; to descend; to go on; to continue; (of a servant) to withdraw,,
下午,xià wǔ,afternoon; p.m.,,
吓,hè,to scare; to intimidate; to threaten; (interjection showing disapproval) tut-tut; (interjection showing astonishment),,
夏,Xià,the Xia or Hsia dynasty c. 2000 BC; Xia of the Sixteen Kingdoms (407-432); surname Xia,,
夏天,xià tiān,summer,,
先,xiān,early; prior; former; in advance; first,,
先进,xiān jìn,advanced (technology); to advance,,
先生,xiān sheng,teacher; gentleman; sir; mister (Mr.); husband; (dialect) doctor,,
显,xiǎn,to make visible; to reveal; prominent; conspicuous; (prefix) phanero-,,
显得,xiǎn de,to seem; to look; to appear,,
显然,xiǎn rán,clearly; evidently; obviously,,
显示,xiǎn shì,to show; to illustrate; to display; to demonstrate,,
显著,xiǎn zhù,outstanding; notable; remarkable; statistically significant,,
险,xiǎn,danger; dangerous; rugged,,
县,xiàn,county,,
现场,xiàn chǎng,"the scene (of a crime, accident etc); (on) the spot; (at) the site",,
现代,Xiàn dài,"Hyundai, South Korean company",,
现金,xiàn jīn,cash,,
现实,xiàn shí,reality; actuality; real; actual; realistic; pragmatic; materialistic; self-interested,,
现象,xiàn xiàng,phenomenon; appearance,,
现在,xiàn zài,now; at present; at the moment; modern; current; nowadays,,
线,xiàn,variant of 线,,
线索,xiàn suǒ,trail; clues; thread (of a story),,
限制,xiàn zhì,to restrict; to limit; to confine; restriction; limit,,
陷入,xiàn rù,to sink into; to get caught up in; to land in (a predicament),,
相比,xiāng bǐ,to compare,,
相处,xiāng chǔ,"to be in contact (with sb); to associate; to interact; to get along (well, poorly)",,
相当,xiāng dāng,equivalent to; appropriate; considerably; to a certain extent; fairly; quite,,
相对,xiāng duì,relatively; opposite; to resist; to oppose; relative; vis-a-vis; counterpart,,
相反,xiāng fǎn,opposite; contrary,,
相关,xiāng guān,related; relevant; pertinent; to be interrelated; (statistics) correlation,,
相互,xiāng hù,each other; mutual,,
相机,xiàng jī,camera (abbr. for 照相机); at the opportune moment; as the circumstances allow,,
相同,xiāng tóng,identical; same,,
相信,xiāng xìn,to be convinced (that sth is true); to believe; to accept sth as true,,
香,xiāng,fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick,,
箱,xiāng,box; trunk; chest,,
详细,xiáng xì,detailed; in detail; minute,,
享受,xiǎng shòu,to enjoy; to live it up; pleasure,,
响,xiǎng,echo; sound; noise; to make a sound; to sound; to ring; loud; classifier for noises,,
想,xiǎng,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),,
想到,xiǎng dào,to think of; to call to mind; to anticipate,,
想法,xiǎng fǎ,way of thinking; opinion; notion; to think of a way (to do sth),,
想念,xiǎng niàn,to miss; to remember with longing; to long to see again,,
想起,xiǎng qǐ,to recall; to think of; to call to mind,,
想象,xiǎng xiàng,to imagine; to envision; imagination,,
向,Xiàng,surname Xiang,,
项,Xiàng,surname Xiang,,
项目,xiàng mù,item; project; (sports) event,,
像,xiàng,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.),,
消除,xiāo chú,to eliminate; to remove,,
消防,xiāo fáng,firefighting; fire control,,
消失,xiāo shī,to disappear; to fade away,,
消息,xiāo xi,news; information,,
销售,xiāo shòu,"to sell; to market; sales (representative, agreement etc)",,
小,xiǎo,small; tiny; few; young,,
小姐,xiǎo jie,young lady; miss; (slang) prostitute,,
小时,xiǎo shí,hour,,
小时候,xiǎo shí hou,in one's childhood,,
小说,xiǎo shuō,novel; fiction,,
小心,xiǎo xīn,to be careful; to take care,,
小学,xiǎo xué,elementary school; primary school,,
小组,xiǎo zǔ,group,,
效果,xiào guǒ,result; effect; efficacy; (theater) sound or visual effects,,
校长,xiào zhǎng,"(college, university) president; headmaster",,
笑,xiào,old variant of 笑,,
笑容,xiào róng,smile; smiling expression,,
些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",,
协会,xié huì,an association; a society,,
协议,xié yì,agreement; pact; protocol,,
协助,xié zhù,to provide assistance; to aid,,
鞋,xié,shoe,,
写,xiě,to write,,
谢谢,xiè xie,to thank; thanks; thank you,,
心,xīn,heart; mind; intention; center; core,,
心里,xīn li,chest; heart; mind,,
心理,xīn lǐ,psychology; mentality,,
心灵,xīn líng,bright; smart; quick-witted; heart; thoughts; spirit,,
心情,xīn qíng,mood; frame of mind,,
心脏,xīn zàng,heart,,
心中,xīn zhōng,central point; in one's thoughts; in one's heart,,
辛苦,xīn kǔ,exhausting; hard; tough; arduous; to work hard; to go to a lot of trouble; hardship(s),,
欣赏,xīn shǎng,to appreciate; to enjoy; to admire,,
新,Xīn,abbr. for Xinjiang 疆 or Singapore 坡; surname Xin,,
新年,xīn nián,New Year,,
新闻,xīn wén,news,,
新鲜,xīn xiān,"fresh (experience, food etc); freshness; novel; uncommon",,
信,xìn,letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random,,
信号,xìn hào,signal,,
信任,xìn rèn,to trust; to have confidence in,,
信息,xìn xī,information; news; message,,
信心,xìn xīn,confidence; faith (in sb or sth),,
信仰,xìn yǎng,to believe in (a religion); firm belief; conviction,,
信用卡,xìn yòng kǎ,credit card,,
星期,xīng qī,week; day of the week; Sunday,,
行,háng,"row; line; commercial firm; line of business; profession; to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column",,
行动,xíng dòng,operation; action; to move about; mobile,,
行为,xíng wéi,action; conduct; behavior; activity,,
行业,háng yè,trade; profession; industry; business,,
行政,xíng zhèng,administration; (attributive) administrative; executive,,
形,xíng,to appear; to look; form; shape,,
形成,xíng chéng,to form; to take shape,,
形式,xíng shì,outer appearance; form; shape; formality,,
形势,xíng shì,circumstances; situation; terrain,,
形象,xíng xiàng,image; form; figure; visualization; vivid,,
型,xíng,mold; type; style; model,,
醒,xǐng,to wake up; to be awake; to become aware; to sober up; to come to,,
醒来,xǐng lái,to waken,,
兴奋,xīng fèn,excited; excitement; (physiology) excitation,,
兴趣,xìng qù,interest (desire to know about sth); interest (thing in which one is interested); hobby,,
姓,xìng,family name; surname; to be surnamed,,
幸福,xìng fú,happiness; happy; blessed,,
幸运,xìng yùn,fortunate; lucky; fortune; luck,,
性,xìng,"nature; character; property; quality; attribute; sexuality; sex; gender; suffix forming adjective from verb; suffix forming noun from adjective, corresponding to -ness or -ity; essence",,
性感,xìng gǎn,sex appeal; eroticism; sexuality; sexy,,
性格,xìng gé,nature; disposition; temperament; character,,
兄弟,xiōng dì,"brothers; younger brother; I, me (humble term used by men in public speech); brotherly; fraternal",,
胸,xiōng,variant of 胸,,
熊,Xióng,surname Xiong,,
休息,xiū xi,rest; to rest,,
修,Xiū,surname Xiu,,
修改,xiū gǎi,to amend; to alter; to modify,,
需,xū,to require; to need; to want; necessity; need,,
需求,xū qiú,requirement; to require; (economics) demand,,
需要,xū yào,to need; to want; to demand; to require; needs,,
许,Xǔ,surname Xu,,
许多,xǔ duō,many; a lot of; much,,
宣布,xuān bù,to declare; to announce; to proclaim,,
宣传,xuān chuán,to disseminate; to give publicity to; propaganda,,
选,xuǎn,to choose; to pick; to select; to elect,,
选举,xuǎn jǔ,to elect; election,,
选手,xuǎn shǒu,athlete; contestant,,
选择,xuǎn zé,to select; to pick; choice; option; alternative,,
学,xué,to learn; to study; to imitate; science; -ology,,
学会,xué huì,to learn; to master; institute; learned society; (scholarly) association,,
学生,xué sheng,student; schoolchild,,
学习,xué xí,to learn; to study,,
学校,xué xiào,school,,
学院,xué yuàn,college; educational institute; school; faculty,,
雪,Xuě,surname Xue,,
血,xuè,blood; colloquial pr. [xiě],,
血液,xuè yè,blood,,
勋章,xūn zhāng,medal; decoration,,
寻,xún,to search; to look for; to seek,,
寻求,xún qiú,to seek; to look for,,
寻找,xún zhǎo,to seek; to look for,,
询问,xún wèn,to inquire,,
迅速,xùn sù,rapid; speedy; fast,,
训练,xùn liàn,to train; to drill; training,,
压,yā,to press; to push down; to keep under (control); pressure,,
压力,yā lì,pressure,,
牙,yá,tooth; ivory,,
亚洲,Yà zhōu,Asia (abbr. for 亚细亚洲),,
呀,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",,
烟,yān,cigarette or pipe tobacco; smoke; mist; vapour; tobacco plant; (of the eyes) to be irritated by smoke,,
严格,yán gé,strict; stringent; tight; rigorous,,
严肃,yán sù,solemn; grave; serious; earnest; severe,,
严重,yán zhòng,grave; serious; severe; critical,,
研究,yán jiū,research; a study; to research; to look into,,
盐,yán,salt,,
颜色,yán sè,color; countenance; appearance; facial expression; pigment; dyestuff,,
眼,yǎn,"eye; small hole; crux (of a matter); classifier for big hollow things (wells, stoves, pots etc)",,
眼镜,yǎn jìng,spectacles; eyeglasses,,
眼睛,yǎn jing,eye,,
眼泪,yǎn lèi,tears; crying,,
眼前,yǎn qián,before one's eyes; now; at present,,
眼神,yǎn shén,expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (dialect),,
演,yǎn,to develop; to evolve; to practice; to perform; to play; to act,,
演唱,yǎn chàng,sung performance; to sing for an audience,,
演唱会,yǎn chàng huì,vocal recital or concert,,
演出,yǎn chū,to act (in a play); to perform; to put on (a performance); performance; concert; show,,
演讲,yǎn jiǎng,lecture; to make a speech,,
演员,yǎn yuán,actor or actress; performer,,
羊,Yáng,surname Yang,,
阳光,yáng guāng,sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny),,
养,yǎng,to raise (animals); to bring up (children); to keep (pets); to support; to give birth,,
样,yàng,"manner; pattern; way; appearance; shape; classifier: kind, type",,
样子,yàng zi,appearance; manner; pattern; model,,
腰,yāo,waist; lower back; pocket; middle; loins,,
邀请,yāo qǐng,to invite; invitation,,
摇,Yáo,surname Yao,,
咬,yǎo,to bite; to nip,,
药,yào,leaf of the iris; variant of 药,,
药品,yào pǐn,medicaments; medicine; drug,,
药物,yào wù,medicaments; pharmaceuticals; medication; medicine; drug,,
要,yāo,(bound form) to demand; to coerce,,
要不,yào bù,otherwise; or else; how about...?; either... (or...),,
要么,yào me,or; either one or the other,,
要求,yāo qiú,to request; to require; requirement; to stake a claim; to ask; to demand,,
要是,yào shi,(coll.) if,,
钥匙,yào shi,key,,
也,Yě,surname Ye,,
也就是说,yě jiù shì shuō,in other words; that is to say; so; thus,,
也许,yě xǔ,perhaps; maybe,,
野,yě,old variant of 野,,
业,Yè,surname Ye,,
业务,yè wù,business; professional work; service,,
页,xié,head,,
夜,yè,variant of 夜,,
夜晚,yè wǎn,night,,
爷爷,yé ye,(coll.) father's father; paternal grandfather,,
一,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit",,
一般,yī bān,same; ordinary; so-so; common; general; generally; in general,,
一半,yī bàn,half,,
一辈子,yī bèi zi,(for) a lifetime,,
一边,yī biān,one side; either side; on the one hand; on the other hand; doing while,,
一旦,yī dàn,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day",,
一定,yī dìng,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,,
一番,yì fān,Some,,
一会儿,yī huì r,a moment; a while; in a moment; now...now...; also pr. [yī huǐ r],,
一句话,yī jù huà,in a word; in short,,
一路,yī lù,the whole journey; all the way; going the same way; going in the same direction; of the same kind,,
一面,yī miàn,one side; one aspect; simultaneously... (and...); one's whole face,,
一起,yī qǐ,in the same place; together; with; altogether (in total),,
一切,yī qiè,everything; every; all,,
一生,yī shēng,all one's life; throughout one's life,,
一时,yī shí,a period of time; a while; for a short while; temporary; momentary; at the same time,,
一些,yī xiē,some; a few; a little; (following an adjective) slightly ...er,,
一样,yī yàng,same; like; equal to; the same as; just like,,
一一,yī yī,one by one; one after another,,
一阵,yī zhèn,a burst; a fit; a peal; a spell (period of time),,
一直,yī zhí,straight (in a straight line); continuously; always; all the way through,,
一致,yī zhì,unanimous; identical (views or opinions),,
衣服,yī fu,clothes,,
医疗,yī liáo,medical treatment,,
医生,yī shēng,doctor,,
医学,yī xué,medicine; medical science; study of medicine,,
医院,yī yuàn,hospital,,
依,yī,to depend on; to comply with or listen to sb; according to; in the light of,,
依靠,yī kào,to rely on sth (for support etc); to depend on,,
依然,yī rán,still; as before,,
仪式,yí shì,ceremony,,
移,yí,to move; to shift; to change; to alter; to remove,,
移动,yí dòng,to move; movement; migration; mobile; portable,,
遗憾,yí hàn,regret; to regret; to be sorry that,,
已,yǐ,already; to stop; then; afterwards,,
已经,yǐ jīng,already,,
以,yǐ,old variant of 以,,
以后,yǐ hòu,after; later; afterwards; following; later on; in the future,,
以及,yǐ jí,as well as; too; and,,
以来,yǐ lái,since (a previous event),,
以前,yǐ qián,before; formerly; previous; ago,,
以上,yǐ shàng,that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) That is all.,,
以外,yǐ wài,apart from; other than; except for; external; outside of; on the other side of; beyond,,
以为,yǐ wéi,to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.),,
以下,yǐ xià,that level or lower; that amount or less; the following,,
义务,yì wù,duty; obligation; volunteer (work etc),,
亿,yì,100 million,,
艺术,yì shù,art,,
亦,yì,also,,
异常,yì cháng,unusual; abnormal; extremely; exceptionally,,
意见,yì jiàn,idea; opinion; suggestion; objection; complaint,,
意识,yì shí,consciousness; awareness; to be aware; to realize,,
意思,yì si,"idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; to give as a small token; to do sth as a gesture of goodwill etc",,
意外,yì wài,unexpected; accident; mishap,,
意味着,yì wèi zhe,to signify; to mean; to imply,,
意义,yì yì,sense; meaning; significance; importance,,
因,yīn,old variant of 因,,
因此,yīn cǐ,thus; consequently; as a result,,
因素,yīn sù,element; factor,,
因为,yīn wèi,because; owing to; on account of,,
音乐,yīn yuè,music,,
银,yín,silver; silver-colored; relating to money or currency,,
银行,yín háng,bank,,
引,yǐn,"to draw (e.g. a bow); to pull; to stretch sth; to extend; to lengthen; to involve or implicate in; to attract; to lead; to guide; to leave; to provide evidence or justification for; old unit of distance equal to 10 丈, one-thirtieth of a km or 33.33 meters",,
引导,yǐn dǎo,to guide; to lead (around); to conduct; to boot; introduction; primer,,
引发,yǐn fā,to lead to; to trigger; to initiate; to cause; to evoke (emotions),,
引起,yǐn qǐ,to give rise to; to lead to; to cause; to arouse,,
饮料,yǐn liào,drink; beverage,,
隐藏,yǐn cáng,to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting),,
印,Yìn,surname Yin; abbr. for 度,,
印象,yìn xiàng,impression (sth that stays in one's mind); a memory,,
应,Yīng,surname Ying; Taiwan pr. [Yìng],,
应当,yīng dāng,should; ought to,,
应该,yīng gāi,ought to; should; must,,
英雄,yīng xióng,hero,,
英语,Yīng yǔ,English (language),,
婴儿,yīng ér,infant; baby; lead (Pb),,
赢,yíng,to beat; to win; to profit,,
赢得,yíng dé,to win; to gain,,
影片,yǐng piàn,a copy of a film; film; motion picture; movie,,
影响,yǐng xiǎng,influence; effect; to influence; to affect (usually adversely); to disturb,,
硬,yìng,hard; stiff; solid; (fig.) strong; firm; resolutely; uncompromisingly; laboriously; with great difficulty; good (quality); able (person); (of food) filling; substantial,,
拥抱,yōng bào,to embrace; to hug,,
拥有,yōng yǒu,to have; to possess,,
永远,yǒng yuǎn,forever; eternal,,
勇敢,yǒng gǎn,brave; courageous,,
勇气,yǒng qì,courage; valor,,
用,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,,
用来,yòng lái,to be used for,,
用于,yòng yú,to use in; to use on; to use for,,
优势,yōu shì,superiority; dominance; advantage,,
优秀,yōu xiù,outstanding; excellent,,
尤其,yóu qí,especially; particularly,,
由,yóu,to follow; from; because of; due to; by; via; through; (before a noun and a verb) it is for ... to ...,,
由于,yóu yú,due to; as a result of; thanks to; owing to; since; because,,
邮件,yóu jiàn,mail; post; email,,
油,yóu,"oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning",,
游,Yóu,surname You,,
游戏,yóu xì,game; to play,,
游泳,yóu yǒng,swimming; to swim,,
有,yǒu,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional),,
有的,yǒu de,(there are) some (who are...); some (exist),,
有关,yǒu guān,to have sth to do with; to relate to; related to; to concern; concerning,,
有趣,yǒu qù,interesting; fascinating; amusing,,
有人,yǒu rén,someone; people; anyone; there is someone there; occupied (as in restroom),,
有时,yǒu shí,sometimes; now and then,,
有时候,yǒu shí hou,sometimes,,
有所,yǒu suǒ,somewhat; to some extent,,
有效,yǒu xiào,effective; in effect; valid,,
有些,yǒu xiē,some; somewhat,,
有意思,yǒu yì si,interesting; meaningful; enjoyable; fun,,
有着,yǒu zhe,to have; to possess,,
又,yòu,(once) again; also; both... and...; and yet; (used for emphasis) anyway,,
右,yòu,(bound form) right; right-hand side; (bound form) (politics) right of center; (bound form) (old) west; (literary) the right side as the side of precedence,,
右边,yòu bian,"right side; right, to the right",,
诱惑,yòu huò,to entice; to lure; to induce; to attract,,
友好,Yǒu hǎo,"Youhao district of Yichun city 市, Heilongjiang",,
友谊,yǒu yì,companionship; fellowship; friendship,,
于,Yú,surname Yu,,
于是,yú shì,thereupon; as a result; consequently; thus; hence,,
鱼,Yú,surname Yu,,
娱乐,yú lè,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,,
愉快,yú kuài,cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted,,
与,yú,variant of 欤,,
宇宙,yǔ zhòu,universe; cosmos,,
雨,yǔ,rain,,
语言,yǔ yán,language,,
玉米,yù mǐ,corn; maize,,
预测,yù cè,to forecast; to predict,,
预计,yù jì,to forecast; to predict; to estimate,,
预算,yù suàn,budget,,
遇,Yù,surname Yu,,
遇到,yù dào,to meet; to run into; to come across,,
遇见,yù jiàn,to meet,,
元,Yuán,surname Yuan; the Yuan or Mongol dynasty (1279-1368),,
员,yuán,person; employee; member,,
员工,yuán gōng,staff; personnel; employee,,
原,Yuán,surname Yuan; (Japanese surname) Hara,,
原本,yuán běn,originally; original,,
原来,yuán lái,"original; former; originally; formerly; at first; so, actually, as it turns out",,
原谅,yuán liàng,to excuse; to forgive; to pardon,,
原因,yuán yīn,cause; origin; root cause; reason,,
原则,yuán zé,principle; doctrine,,
圆,yuán,circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie),,
远,yuǎn,far; distant; remote; (intensifier in a comparison) by far; much (lower etc),,
远离,yuǎn lí,to be far from; to keep away from,,
远远,yuǎn yuǎn,distant; by far,,
院,yuàn,courtyard; institution,,
愿,yuàn,honest; prudent; variant of 愿,,
愿望,yuàn wàng,desire; wish,,
愿意,yuàn yì,to wish; to want; ready; willing (to do sth),,
约,yāo,to weigh in a balance or on a scale,,
约会,yuē huì,appointment; engagement; date; to arrange to meet,,
月,yuè,moon; month; monthly,,
越,Yuè,generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南,,
越来越,yuè lái yuè,more and more,,
晕,yūn,confused; dizzy; giddy; to faint; to swoon; to lose consciousness; to pass out,,
云,yún,(classical) to say,,
允许,yǔn xǔ,to permit; to allow,,
运,yùn,to move; to transport; to use; to apply; fortune; luck; fate,,
运动,yùn dòng,to move; to exercise; sports; exercise; motion; movement; campaign,,
运动员,yùn dòng yuán,athlete,,
运气,yùn qi,luck (good or bad),,
运输,yùn shū,to transport; to carry; transportation,,
运行,yùn xíng,to move along one's course (of celestial bodies etc); (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run,,
运用,yùn yòng,to use; to put to use,,
运作,yùn zuò,to operate; operations; workings; activities (usu. of an organization); thread (computing),,
杂志,zá zhì,magazine,,
砸,zá,to smash; to pound; to fail; to muck up; to bungle,,
再,zài,"again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)",,
再次,zài cì,one more time; again; one more; once again,,
再见,zài jiàn,goodbye; see you again later,,
再说,zài shuō,to say again; to put off a discussion until later; moreover; what's more; besides,,
在,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),,
在场,zài chǎng,to be present; to be on the scene,,
在乎,zài hu,to care about; equivalent of 在于,,
在家,zài jiā,to be at home; (at a workplace) to be in (as opposed to being away on official business 差); (Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 家),,
在于,zài yú,to be in; to lie in; to consist in; to depend on; to rest with,,
咱,zán,variant of 咱,,
咱们,zán men,we or us (including both the speaker and the person(s) spoken to); (dialect) I or me; (dialect) (in a coaxing or familiar way) you; also pr. [zá men],,
暂时,zàn shí,temporary; provisional; for the time being,,
遭到,zāo dào,to suffer; to meet with (sth unfortunate),,
遭遇,zāo yù,to meet with; to encounter; (bitter) experience,,
糟糕,zāo gāo,too bad; how terrible; what bad luck; terrible; bad,,
早,zǎo,early; morning; Good morning!; long ago; prematurely,,
早餐,zǎo cān,breakfast,,
早晨,zǎo chén,early morning; also pr. [zǎo chen],,
早就,zǎo jiù,already at an earlier time,,
早上,zǎo shang,early morning,,
造,zào,to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops,,
造成,zào chéng,to bring about; to create; to cause,,
造型,zào xíng,to model; to shape; appearance; style; design; form; pose,,
则,zé,(literary) (conjunction used to express contrast with a previous clause) but; then; (bound form) standard; norm; (bound form) principle; (literary) to imitate; to follow; classifier for written items,,
责任,zé rèn,responsibility; blame; duty,,
贼,zéi,thief; traitor; wily; deceitful; evil; extremely,,
怎么,zěn me,how?; what?; why?,,
怎么办,zěn me bàn,what's to be done,,
怎么样,zěn me yàng,how?; how about?; how was it?; how are things?,,
怎样,zěn yàng,how; what kind,,
增加,zēng jiā,to raise; to increase,,
增长,zēng zhǎng,to grow; to increase,,
扎,zhā,"to prick; to run or stick (a needle etc) into; mug or jug used for serving beer (loanword from ""jar"")",,
炸,zhá,to deep fry; Taiwan pr. [zhà],,
炸弹,zhà dàn,bomb,,
粘,nián,variant of 黏,,
展开,zhǎn kāi,to unfold; to spread out; to open up; to launch; to carry out,,
展示,zhǎn shì,to reveal; to display; to show; to exhibit,,
展现,zhǎn xiàn,to unfold before one's eyes; to emerge; to reveal; to display,,
占,zhàn,variant of 占,,
战斗,zhàn dòu,to fight; to engage in combat; struggle; battle,,
战略,zhàn lu:è,strategy,,
战胜,zhàn shèng,to prevail over; to defeat; to surmount,,
战士,zhàn shì,fighter; soldier; warrior,,
战争,zhàn zhēng,war; conflict,,
站,zhàn,station; to stand; to halt; to stop; branch of a company or organization; website,,
张,Zhāng,surname Zhang,,
章,Zhāng,surname Zhang,,
长,cháng,length; long; forever; always; constantly,,
长大,zhǎng dà,to grow up,,
长期,cháng qī,long term; long time; long range (of a forecast),,
掌握,zhǎng wò,"to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency",,
丈夫,zhàng fu,husband,,
账户,zhàng hù,bank account; online account,,
障碍,zhàng ài,barrier; obstruction; hindrance; impediment; obstacle,,
招,zhāo,to recruit; to provoke; to beckon; to incur; to infect; contagious; a move (chess); a maneuver; device; trick; to confess,,
找,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,,
找到,zhǎo dào,to find,,
照,zhào,variant of 照; to shine; to illuminate,,
照顾,zhào gu,to take care of; to show consideration; to attend to; to look after,,
照片,zhào piàn,photograph; picture,,
折,shé,"to snap; to break (a stick, a bone etc); (bound form) to sustain a loss (in business)",,
折磨,zhé mó,to torment; to torture,,
者,zhě,"(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a number or 后 or 前 to refer to sth mentioned previously); (used after a term, to mark a pause before defining the term); (old) (used at the end of a command); (old) this",,
这,zhè,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhèi], esp. in Beijing)",,
这边,zhè biān,this side; here,,
这儿,zhè r,here,,
