Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
现在,xiàn zài,now; at present; currently,我现在在家。,I am at home now.,
线索,xiàn suǒ,trail,你找到线索了吗？,Did you find the clues?,"<img src=""trail.jpg"" />"
限制,xiàn zhì,to restrict,时间有限制吗？,Is there a time limit?,"<img src=""restrict.jpg"" />"
陷入,xiàn rù,to sink into,他陷入了沉默。,He fell into silence.,"<img src=""sink.jpg"" />"
相比,xiāng bǐ,to compare,相比去年，便宜多了。,"Compared to last year, it's much cheaper.",
相处,xiāng chǔ,to be in contact (with sb),我们相处得很好。,We get along well.,"<img src=""contact.jpg"" />"
相当,xiāng dāng,equivalent to,天气相当冷。,The weather is quite cold.,
相对,xiāng duì,relatively,天气相对暖和。,The weather is relatively warm.,
相反,xiāng fǎn,opposite,正好相反。,Exactly the opposite.,
相关,xiāng guān,related,这两件事相关吗？,Are these two things related?,
相互,xiāng hù,each other,我们要相互帮助。,We should help each other.,
相机,xiàng jī,camera (abbr. for 照相機|照相机[zhao4 xiang4 ji1]),你带相机了吗？,Did you bring the camera?,"<img src=""camera.jpg"" />"
相同,xiāng tóng,identical; same,我们的意见相同。,Our opinions are the same.,"<img src=""identical.jpg"" />"
相信,xiāng xìn,to believe; to be convinced; to accept as true,我相信你。,I believe you.,
香,xiāng,fragrant,这饭真香。,This food smells so good.,
箱,xiāng,box,钥匙在箱子里。,The keys are in the box.,
详细,xiáng xì,detailed,你能详细说说吗？,Can you explain it in detail?,
享受,xiǎng shòu,to enjoy,我喜欢享受生活。,I like to enjoy life.,"<img src=""enjoy.jpg"" />"
响,xiǎng,echo,电话响了。,The phone rang.,"<img src=""echo.jpg"" />"
想,xiǎng,to think (about),我想回家。,I want to go home.,
想到,xiǎng dào,to think of,我想到一个好主意。,I thought of a good idea.,
想法,xiǎng fǎ,way of thinking; opinion; notion,你有什么想法？,Do you have any ideas?,"<img src=""opinion.jpg"" />"
想念,xiǎng niàn,to miss,我很想念你。,I miss you very much.,
想起,xiǎng qǐ,to recall,我想起你了。,I thought of you.,
想象,xiǎng xiàng,to imagine; to envision,你能想象吗？,Can you imagine?,
项目,xiàng mù,item; project; (sports) event,你负责哪个项目？,Which project are you responsible for?,"<img src=""project.jpg"" />"
像,xiàng,to resemble,你像爸爸。,You look like your dad.,"<img src=""resemble.jpg"" />"
消除,xiāo chú,to eliminate,消除误会吧。,Let's clear up the misunderstanding.,
消防,xiāo fáng,firefighting,消防演习开始了。,The fire drill has started.,
消失,xiāo shī,to disappear; to fade away,他忽然消失了。,He suddenly disappeared.,"<img src=""disappear.jpg"" />"
消息,xiāo xi,(piece of) news; information,有最新消息吗？,Do you have any new news?,
销售,xiāo shòu,to sell,我做销售。,I work in sales.,
小,xiǎo,small,这朵花很小。,This flower is very small.,
小姐,xiǎo jie,young lady,那位小姐是谁？,Who is that young lady?,
小时,xiǎo shí,hour,我等了你一小时。,I waited for you for an hour.,"<img src=""hour.jpg"" />"
小时候,xiǎo shí hou,in one's childhood,小时候我喜欢玩。,I liked playing in my childhood.,
小说,xiǎo shuō,novel,我喜欢看小说。,I like reading novels.,"<img src=""novel.jpg"" />"
小心,xiǎo xīn,to be careful,走路小心点。,Be careful when walking.,
小学,xiǎo xué,elementary school; primary school,我妹妹上小学。,My younger sister goes to elementary school.,"<img src=""elementary.jpg"" />"
小组,xiǎo zǔ,group,我们是一个小组。,We are a group.,
效果,xiào guǒ,result,这个药效果很好。,The medicine works very well.,
校长,xiào zhǎng,"(college, university) president",我想见校长。,I want to see the headmaster.,"<img src=""university.jpg"" />"
笑,xiào,old variant of 笑[xiao4],别笑我。,Don't laugh at me.,
笑容,xiào róng,smile,你的笑容很甜。,Your smile is very sweet.,
些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",买些苹果吧。,Buy some apples.,"<img src=""several.jpg"" />"
协会,xié huì,an association,我加入了摄影协会。,I joined the photography association.,
协议,xié yì,agreement,我们签了协议。,We signed an agreement.,
协助,xié zhù,to provide assistance; to aid,你能协助我吗？,Can you assist me?,
鞋,xié,shoe,这双鞋多少钱？,How much is this pair of shoes?,
写,xiě,to write,你写什么？,What are you writing?,"<img src=""write.jpg"" />"
谢谢,xiè xie,to thank,谢谢你的帮助。,Thank you for your help.,
心,xīn,heart,我心里很高兴。,I am very happy.,
心里,xīn li,chest,我心里很高兴。,I feel very happy inside.,"<img src=""chest.jpg"" />"
心理,xīn lǐ,psychology; mentality,心理很重要。,Mentality is very important.,"<img src=""psychology.jpg"" />"
心灵,xīn líng,bright,他有一颗善良的心灵。,He has a kind heart.,
心情,xīn qíng,mood; frame of mind,我今天心情很好。,I'm in a good mood today.,"<img src=""frame.jpg"" />"
心脏,xīn zàng,heart,我的心脏很好。,My heart is fine.,
心中,xīn zhōng,central point,我心中只有你。,You are the only one in my heart.,
辛苦,xīn kǔ,exhausting,你辛苦了。,You've worked hard.,"<img src=""exhausting.jpg"" />"
欣赏,xīn shǎng,to appreciate; to enjoy; to admire,我喜欢欣赏音乐。,I like to appreciate music.,"<img src=""appreciate.jpg"" />"
新,Xīn,abbr. for Xinjiang 新疆[Xin1 jiang1],我买了一本新书。,I bought a new book.,
新年,xīn nián,New Year,新年快乐！,Happy New Year!,
新闻,xīn wén,news,今天有新闻吗？,Is there any news today?,
新鲜,xīn xiān,"fresh (experience, food etc)",这苹果很新鲜。,The apples are fresh.,
信,xìn,letter,我信你。,I trust you.,
信号,xìn hào,signal,手机没信号。,The phone has no signal.,"<img src=""signal.jpg"" />"
信任,xìn rèn,to trust,我们互相信任。,We trust each other.,"<img src=""trust.jpg"" />"
信息,xìn xī,information; news; message,请发信息给我。,Please send me a message.,"<img src=""message.jpg"" />"
信心,xìn xīn,confidence,我有信心。,I have confidence.,"<img src=""confidence.jpg"" />"
信仰,xìn yǎng,to believe in (a religion),他有自己的信仰。,He has his own beliefs.,"<img src=""religion.jpg"" />"
信用卡,xìn yòng kǎ,credit card,我用信用卡付款。,I pay with a credit card.,"<img src=""credit.jpg"" />"
星期,xīng qī,week,今天星期几？,What day is today?,
行,háng,(bound form) row; line,他干哪一行？,What line of work is he in?,
行动,xíng dòng,operation,我们马上行动。,We will take action right away.,
行为,xíng wéi,action; conduct; behavior; activity,这种行为不对。,This behavior is wrong.,
行业,háng yè,trade; profession; industry; business,你在哪个行业工作？,Which industry do you work in?,"<img src=""profession.jpg"" />"
行政,xíng zhèng,administration,我在行政部工作。,I work in the administrative department.,"<img src=""administration.jpg"" />"
形,xíng,to appear,这字形真好看。,This character's shape looks really nice.,
形成,xíng chéng,to form; to take shape,习惯形成了。,A habit has formed.,"<img src=""shape.jpg"" />"
形式,xíng shì,outer appearance,这只是形式。,It's just a formality.,
形势,xíng shì,circumstances,当前形势很好。,The current situation is good.,
形象,xíng xiàng,image,他的形象很好。,His image is good.,"<img src=""image.jpg"" />"
型,xíng,mold,我喜欢这款发型。,I like this hairstyle.,"<img src=""mold.jpg"" />"
醒,xǐng,to wake up,我醒了。,I woke up.,
醒来,xǐng lái,to waken,我刚醒来。,I just woke up.,
兴奋,xīng fèn,excited,听到这个消息很兴奋。,Very excited hearing the news.,
兴趣,xìng qù,interest (desire to know about sth),我的兴趣是读书。,My hobby is reading.,"<img src=""desire.jpg"" />"
姓,xìng,family name; surname,你姓什么？,What is your surname?,
幸福,xìng fú,happiness,我很幸福。,I am very happy.,
幸运,xìng yùn,fortunate; lucky,我很幸运。,I am very lucky.,"<img src=""fortunate.jpg"" />"
性,xìng,nature,他性格很好。,He has a good personality.,"<img src=""nature.jpg"" />"
性感,xìng gǎn,sex appeal,这件衣服很性感。,This outfit is very sexy.,"<img src=""appeal.jpg"" />"
性格,xìng gé,nature,他性格很好。,He has a good personality.,
兄弟,xiōng dì,brothers,他是我的好兄弟。,He is my good brother.,
休息,xiū xi,rest,我想休息。,I want to rest.,"<img src=""rest.jpg"" />"
修改,xiū gǎi,to amend,请修改这篇文章。,Please modify this article.,"<img src=""amend.jpg"" />"
需,xū,to require,我需要帮助。,I need help.,"<img src=""require.jpg"" />"
需求,xū qiú,requirement,你有什么需求？,What are your requirements?,
需要,xū yào,to need; to want; to demand; to require,我需要帮忙。,I need help.,
许多,xǔ duō,many,这里有许多人。,There are many people here.,
宣传,xuān chuán,to disseminate,他在宣传新书。,He is promoting a new book.,
选,xuǎn,to choose,我选红色。,I choose red.,"<img src=""choose.jpg"" />"
选举,xuǎn jǔ,to elect,我们明天选举班长。,We will elect a class monitor tomorrow.,
选手,xuǎn shǒu,athlete,这位选手赢了。,This contestant won.,"<img src=""athlete.jpg"" />"
选择,xuǎn zé,to select; to pick,你的选择是什么？,What is your choice?,"<img src=""select.jpg"" />"
学,xué,to learn,今天学什么？,What are we learning today?,
学会,xué huì,to learn; to master,我学会游泳了。,I learned to swim.,
学生,xué sheng,student,我是学生。,I am a student.,
学习,xué xí,to learn; to study,我喜欢学习中文。,I like learning Chinese.,
学校,xué xiào,school,学校在哪儿？,Where is the school?,
学院,xué yuàn,college,学院离我家很近。,The college is close to my home.,
血液,xuè yè,blood,他的血液有问题。,His blood has problems.,
勋章,xūn zhāng,medal; decoration,我得到了一枚勋章。,I got a medal.,
寻,xún,to search,我在寻钥匙。,I'm looking for my keys.,
寻求,xún qiú,to seek; to look for,我想寻求帮助。,I want to seek help.,
寻找,xún zhǎo,to seek; to look for,我在寻找钥匙。,I am looking for my keys.,
询问,xún wèn,to inquire,我想询问价格。,I want to inquire about the price.,
迅速,xùn sù,rapid,他迅速跑开了。,He ran away quickly.,
训练,xùn liàn,to train,我们每天训练。,We train every day.,
压,yā,to press,请压一下按钮。,Press the button.,
压力,yā lì,pressure,别给自己压力。,Don't put too much pressure on yourself.,"<img src=""pressure.jpg"" />"
牙,yá,tooth,我牙疼。,I have a toothache.,
亚洲,Yà zhōu,Asia (abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1]),我住在亚洲。,I live in Asia.,
呀,ya,ah (used to express surprise),原来是你呀！,"Oh, it's you!",
烟,yān,cigarette or pipe tobacco,屋里全是烟。,The room is full of smoke.,"<img src=""cigarette.jpg"" />"
严格,yán gé,strict; stringent; tight; rigorous,老师很严格。,The teacher is very strict.,"<img src=""strict.jpg"" />"
严肃,yán sù,(of an atmosphere etc) solemn; grave; serious,老师很严肃。,The teacher is very serious.,"<img src=""solemn.jpg"" />"
严重,yán zhòng,grave; serious; severe; critical,病情很严重。,The illness is very serious.,"<img src=""severe.jpg"" />"
研究,yán jiū,research,我想研究这个。,I want to research this.,"<img src=""research.jpg"" />"
盐,yán,salt,请给我一点盐。,Please give me some salt.,
颜色,yán sè,color,我喜欢这个颜色。,I like this color.,
眼镜,yǎn jìng,spectacles,我忘带眼镜了。,I forgot to bring my glasses.,
眼睛,yǎn jing,eye,请闭上眼睛。,Please close your eyes.,
眼泪,yǎn lèi,tear; teardrop,别流眼泪。,Don't cry.,"<img src=""tear.jpg"" />"
眼前,yǎn qián,before one's eyes,幸福就在眼前。,Happiness is right in front of you.,
眼神,yǎn shén,expression or emotion showing in one's eyes,别用那种眼神看我。,Don't look at me with that expression.,
演,yǎn,to perform (a play etc); to stage (a show),她喜欢演戏。,She likes acting.,"<img src=""perform.jpg"" />"
演唱,yǎn chàng,to sing (for an audience),她今晚要演唱一首歌。,She will sing a song tonight.,
演唱会,yǎn chàng huì,vocal recital or concert,我想去演唱会。,I want to go to a concert.,"<img src=""concert.jpg"" />"
演出,yǎn chū,to act (in a play),今晚有演出吗？,Is there a show tonight?,
演讲,yǎn jiǎng,to give a lecture; to make a speech,他明天要演讲。,He will give a speech tomorrow.,"<img src=""lecture.jpg"" />"
演员,yǎn yuán,actor; actress; performer,我想当演员。,I want to be an actor.,
阳光,yáng guāng,sunshine,今天阳光真好。,The sunshine is really nice today.,
养,yǎng,to raise (animals),我养了一只猫。,I keep a cat.,
样,yàng,manner,你长什么样？,What do you look like?,
样子,yàng zi,appearance,这包的样子不错。,This bag's style is nice.,
腰,yāo,the waist and lower back,我腰疼。,My waist hurts.,
邀请,yāo qǐng,to invite,他邀请我去吃饭。,He invited me to dinner.,"<img src=""invite.jpg"" />"
咬,yǎo,to bite,蚊子咬我。,A mosquito bit me.,"<img src=""bite.jpg"" />"
药,yào,leaf of the iris,吃药了吗？,Did you take your medicine?,
药品,yào pǐn,medicaments,这些药品很便宜。,These medicines are cheap.,
药物,yào wù,medicaments,这种药物有效。,This medicine is effective.,
要,yāo,(bound form) to demand; to coerce,他向我要钱。,He demanded money from me.,
要不,yào bù,otherwise,要不我们走吧？,How about we leave?,
要么,yào me,or,要么喝茶，要么喝咖啡。,Either drink tea or coffee.,
要求,yāo qiú,to request,你的要求是什么？,What is your requirement?,
要是,yào shi,(coll.) if,要是下雨，我就不去了。,"If it rains, I won't go.",
钥匙,yào shi,key,我的钥匙在哪？,Where is my key?,"<img src=""key.jpg"" />"
也就是说,yě jiù shì shuō,in other words,他迟到，也就是说没来。,That means he didn't come.,
也许,yě xǔ,perhaps; maybe,也许他会来。,Maybe he will come.,
野,yě,old variant of 野[ye3],我们去野外吧。,Let's go to the outdoors.,
业务,yè wù,business,我负责新业务。,I handle the new business.,
页,xié,head,请翻到下一页。,Please turn to the next page.,
夜晚,yè wǎn,night,我喜欢夜晚。,I like the night.,
爷爷,yé ye,(coll.) paternal grandfather; grandpa,爷爷在家吗？,Is grandpa at home?,
一,yī,one,我有一个苹果。,I have an apple.,
一般,yī bān,same,他的成绩一般。,His grades are so-so.,
一半,yī bàn,half,我吃了一半苹果。,I ate half an apple.,
一辈子,yī bèi zi,(for) a lifetime,我想陪你一辈子。,I want to stay with you for a lifetime.,
一边,yī biān,one side,他一边吃饭一边看书。,He eats while reading.,
一旦,yī dàn,in case (sth happens),一旦下雨我就回家。,"Once it rains, I'll go home.",
一定,yī dìng,surely; certainly; definitely,我一定去。,I will definitely go.,
一番,yì fān,Not found,他做了一番努力。,He made some effort.,
一会儿,yī huì r,a moment,我一会儿来。,I'll come in a moment.,
一句话,yī jù huà,in a word; in short,一句话，很简单。,"In short, it's very simple.",
一路,yī lù,the whole journey,他一路走回家。,He walked home all the way.,"<img src=""journey.jpg"" />"
一面,yī miàn,one side,他一面走一面笑。,He walks and smiles at the same time.,
一起,yī qǐ,(in) the same place,我们一起去吃饭。,Let's go eat together.,
一切,yī qiè,everything,别担心，一切都会好的。,"Don't worry, everything will be fine.",
一生,yī shēng,all one's life; throughout one's life,我想用一生学习。,I want to study all my life.,
一时,yī shí,a period of time,我一时忘了。,I forgot for a moment.,
一些,yī xiē,some; a few; a little; (following an adjective) slightly ...er,我想买一些苹果。,I want to buy some apples.,
一样,yī yàng,same,我们俩一样。,We are the same.,
一一,yī yī,one by one; one after another,大家一一排队。,Everyone lines up one by one.,
一阵,yī zhèn,a burst,刚才刮了一阵风。,There was a gust of wind just now.,
一直,yī zhí,straight (in a straight line),他一直在学习。,He has been studying continuously.,
一致,yī zhì,consistent; unanimous; in agreement,我们意见一致。,Our opinions are the same.,"<img src=""consistent.jpg"" />"
衣服,yī fu,clothes,我的衣服很漂亮。,My clothes are very pretty.,
医疗,yī liáo,medical treatment,这里的医疗很好。,Medical treatment here is good.,"<img src=""medical.jpg"" />"
医生,yī shēng,doctor; medical practitioner,我是医生。,I am a doctor.,"<img src=""practitioner.jpg"" />"
医学,yī xué,medicine,我想学医学。,I want to study medicine.,"<img src=""medicine.jpg"" />"
医院,yī yuàn,hospital,明天去医院。,I will go to the hospital tomorrow.,"<img src=""hospital.jpg"" />"
依,yī,to depend on,依我看，这样好。,"In my opinion, this is better.","<img src=""depend.jpg"" />"
依靠,yī kào,to rely on; to depend on,我依靠父母生活。,I rely on my parents for a living.,
依然,yī rán,still; as before,我依然记得。,I still remember.,
仪式,yí shì,ceremony,今天的仪式很简单。,Today's ceremony is very simple.,
移,yí,to move,请把椅子移开。,Please move the chair away.,
移动,yí dòng,to move,请移动一下椅子。,Please move the chair.,
遗憾,yí hàn,regret,我很遗憾不能去。,I'm sorry I can't go.,"<img src=""regret.jpg"" />"
已,yǐ,already,我已到了。,I'm already here.,
已经,yǐ jīng,already,我已经吃饭了。,I have already eaten.,
以,yǐ,old variant of 以[yi3],我以手机付款。,I pay by phone.,
以后,yǐ hòu,after,以后常联系。,Keep in touch in the future.,
以及,yǐ jí,and; as well as,我带了书以及笔。,I brought a book as well as a pen.,
以来,yǐ lái,since (used after a specified time or event),毕业以来，我很忙。,"Since graduation, I've been busy.",
以前,yǐ qián,before,我以前住北京。,I used to live in Beijing.,
以上,yǐ shàng,that level or higher; that amount or more,十八岁以上可以参加。,Those eighteen and older can join.,
以外,yǐ wài,apart from,他以外，还有谁？,"Apart from him, who else?","<img src=""apart.jpg"" />"
以为,yǐ wéi,to think; to believe (often with the implication that the belief is mistaken – unless referring to one's own current belief),我以为今天下雨。,I thought it would rain today.,"<img src=""current.jpg"" />"
以下,yǐ xià,that level or lower,十元以下免费。,Ten yuan or less is free.,
义务,yì wù,duty; obligation (CL:項|项[xiang4]),这是我的义务。,This is my duty.,"<img src=""duty.jpg"" />"
亿,yì,100 million,他赚了一亿块钱。,He earned one hundred million yuan.,
艺术,yì shù,art,我喜欢艺术。,I like art.,
亦,yì,also,我亦想去。,I also want to go.,
异常,yì cháng,unusual; abnormal,今天天气异常冷。,The weather is extremely cold today.,"<img src=""abnormal.jpg"" />"
意见,yì jiàn,idea,你有什么意见？,Do you have any suggestions?,
意识,yì shí,consciousness; awareness,我意识到错了。,I realized I was wrong.,"<img src=""awareness.jpg"" />"
意思,yì si,idea,一点小意思。,Just a small token.,
意外,yì wài,unexpected,这真是个大意外。,This is really unexpected.,
意味着,yì wèi zhe,to signify,这意味着什么？,What does this mean?,"<img src=""signify.jpg"" />"
意义,yì yì,sense,这有什么意义？,What's the meaning of this?,
因,yīn,old variant of 因[yin1],我因忙没去。,I didn't go because I was busy.,
因此,yīn cǐ,thus; consequently; as a result,他病了，因此没来。,"He was sick, so he didn't come.","<img src=""thus.jpg"" />"
因素,yīn sù,element,天气是重要因素。,Weather is an important factor.,"<img src=""element.jpg"" />"
因为,yīn wèi,because; owing to; on account of,因为下雨，我不去。,"Because it's raining, I won't go.","<img src=""account.jpg"" />"
音乐,yīn yuè,music,我喜欢音乐。,I like music.,
银,yín,silver,这枚戒指是银的。,This ring is silver.,
银行,yín háng,bank,我去银行。,I go to the bank.,
引,yǐn,to draw (e.g. a bow),他引着我去参观。,He led me around.,"<img src=""bow.jpg"" />"
引导,yǐn dǎo,to guide,请引导客人入座。,Please guide the guests to their seats.,"<img src=""guide.jpg"" />"
引发,yǐn fā,to lead to,他的话引发了争吵。,His words caused an argument.,
引起,yǐn qǐ,to give rise to; to lead to; to cause; to arouse,这引起了很多问题。,This caused many problems.,"<img src=""arouse.jpg"" />"
饮料,yǐn liào,drink,我想喝饮料。,I want to drink a beverage.,
隐藏,yǐn cáng,to hide,他喜欢隐藏在沙发下。,He likes to hide under the sofa.,
印象,yìn xiàng,impression (sth that stays in one's mind),第一印象很重要。,First impressions are important.,
应当,yīng dāng,should; ought to,你应当早点休息。,You should get some rest early.,"<img src=""ought.jpg"" />"
应该,yīng gāi,ought to; should; must,你应该早点休息。,You should rest early.,
英雄,yīng xióng,hero,他是我们的英雄。,He is our hero.,"<img src=""hero.jpg"" />"
英语,Yīng yǔ,English (language),你会说英语吗？,Can you speak English?,"<img src=""language.jpg"" />"
婴儿,yīng ér,infant,这个婴儿很可爱。,This baby is very cute.,"<img src=""infant.jpg"" />"
赢,yíng,to beat,我们赢了比赛。,We won the match.,
赢得,yíng dé,to win,他赢得了比赛。,He won the match.,
影片,yǐng piàn,a copy of a film,这部影片很好看。,This movie is very good.,
影响,yǐng xiǎng,influence,别影响我工作。,Don't affect my work.,"<img src=""influence.jpg"" />"
硬,yìng,hard; stiff; solid,这面包太硬了。,This bread is too hard.,
拥抱,yōng bào,to embrace,我想拥抱你。,I want to hug you.,"<img src=""embrace.jpg"" />"
拥有,yōng yǒu,to have; to possess; to own,我拥有很多书。,I have many books.,"<img src=""own.jpg"" />"
永远,yǒng yuǎn,forever,我永远爱你。,I will always love you.,"<img src=""forever.jpg"" />"
勇敢,yǒng gǎn,brave; courageous,你真勇敢！,You are very brave!,"<img src=""brave.jpg"" />"
勇气,yǒng qì,courage,我需要勇气。,I need courage.,"<img src=""courage.jpg"" />"
用,yòng,to use; to make use of; to employ,我用手机上网。,I use my phone to browse the internet.,"<img src=""employ.jpg"" />"
用来,yòng lái,to be used for,钥匙用来开门。,Keys are used to open doors.,
用于,yòng yú,to use in; to use on; to use for,这笔钱用于买书。,This money is used to buy books.,
优势,yōu shì,superiority,他的优势是英语。,His advantage is English.,
优秀,yōu xiù,outstanding; excellent,她是个优秀的学生。,She is an excellent student.,"<img src=""excellent.jpg"" />"
尤其,yóu qí,especially; particularly,我喜欢水果，尤其苹果。,"I like fruit, especially apples.",
由,yóu,to follow,这事由我负责。,I will be responsible for this.,
由于,yóu yú,due to,由于下雨，我没去。,"Because of the rain, I didn't go.",
邮件,yóu jiàn,mail,我发了一封邮件。,I sent an email.,"<img src=""mail.jpg"" />"
油,yóu,oil,这汤太油了。,This soup is too oily.,
游戏,yóu xì,game (CL:場|场[chang3]),我喜欢玩游戏。,I like playing games.,"<img src=""game.jpg"" />"
游泳,yóu yǒng,swimming,我喜欢游泳。,I like swimming.,
有,yǒu,to have; there is,我有一本书。,I have a book.,
有的,yǒu de,(there are) some (who are...),有的人喜欢喝茶。,Some people like drinking tea.,
有关,yǒu guān,to have sth to do with,这跟钱有关。,This is related to money.,
有趣,yǒu qù,interesting; fascinating; amusing,这本书很有趣。,This book is interesting.,
有人,yǒu rén,someone,有人敲门。,Someone is knocking on the door.,
有时,yǒu shí,sometimes; now and then,我有时喝咖啡。,I sometimes drink coffee.,
有时候,yǒu shí hou,sometimes,有时候我想家。,Sometimes I miss home.,
有所,yǒu suǒ,somewhat,情况有所改善。,The situation has somewhat improved.,
有效,yǒu xiào,effective,这个方法很有效。,This method is very effective.,"<img src=""effective.jpg"" />"
有些,yǒu xiē,some,我有些累了。,I'm somewhat tired.,
有意思,yǒu yì si,interesting,这本书很有意思。,This book is very interesting.,
有着,yǒu zhe,to have,他有着好习惯。,He has good habits.,
又,yòu,(once) again,他又迟到了。,He is late again.,
右,yòu,(bound form) right; right-hand side,请往右走。,Please walk to the right.,
右边,yòu bian,right side,书在右边。,The book is on the right.,
诱惑,yòu huò,to entice,金钱诱惑了他。,Money tempted him.,
于是,yú shì,thereupon; as a result; consequently; thus; hence,下雨了，于是我不出门。,So I didn't go out.,"<img src=""hence.jpg"" />"
娱乐,yú lè,to entertain,我喜欢娱乐。,I like entertainment.,"<img src=""entertain.jpg"" />"
愉快,yú kuài,cheerful; happy; pleasant; delighted,今天真愉快。,Today was really pleasant.,"<img src=""pleasant.jpg"" />"
宇宙,yǔ zhòu,universe; cosmos; space,宇宙很大。,The universe is very big.,
雨,yǔ,rain,今天下雨了。,It's raining today.,
语言,yǔ yán,language,我喜欢学语言。,I like learning languages.,
玉米,yù mǐ,corn,我喜欢吃玉米。,I like to eat corn.,
预测,yù cè,to forecast,你能预测天气吗？,Can you predict the weather?,"<img src=""forecast.jpg"" />"
预计,yù jì,to forecast,预计明天会下雨。,It is expected to rain tomorrow.,
预算,yù suàn,budget,我的预算不够。,My budget isn't enough.,"<img src=""budget.jpg"" />"
遇到,yù dào,to meet; to run into; to come across,我昨天遇到朋友了。,I met a friend yesterday.,
遇见,yù jiàn,to meet,我遇见了朋友。,I met a friend.,
员,yuán,(bound form) person engaged in a certain field of activity,他是新成员。,He is a new member.,"<img src=""certain.jpg"" />"
员工,yuán gōng,staff; personnel; employee,公司有很多员工。,The company has many employees.,"<img src=""personnel.jpg"" />"
原本,yuán běn,originally,我原本想去。,I originally wanted to go.,"<img src=""originally.jpg"" />"
原来,yuán lái,original; former,原来是你啊。,So it's you!,"<img src=""former.jpg"" />"
原谅,yuán liàng,to excuse,请原谅我。,Please forgive me.,
原因,yuán yīn,cause,我不知道原因。,I don't know the reason.,
原则,yuán zé,principle,这是我的原则。,That's my principle.,"<img src=""principle.jpg"" />"
圆,yuán,circle,今晚的月亮真圆。,The moon is so round tonight.,
远,yuǎn,far,学校离我家很远。,The school is far from my home.,"<img src=""far.jpg"" />"
远离,yuǎn lí,to be far from,请远离危险。,Please stay away from danger.,
远远,yuǎn yuǎn,distant,他远远地看着我。,He watched me from a distance.,
院,yuàn,courtyard,我们在院子里玩。,We play in the courtyard.,"<img src=""courtyard.jpg"" />"
愿,yuàn,honest and prudent,愿你每天开心。,May you be happy every day.,
愿望,yuàn wàng,desire,我有一个小愿望。,I have a small wish.,
愿意,yuàn yì,to wish,你愿意去吗？,Are you willing to go?,
约,yāo,to weigh in a balance or on a scale,请帮我约两斤。,Please weigh two jin for me.,"<img src=""weigh.jpg"" />"
约会,yuē huì,appointment,今晚去约会吧。,Let's go on a date tonight.,
月,yuè,moon,今晚的月亮真美。,The moon is so beautiful tonight.,
越,Yuè,generic word for peoples or states of south China or south Asia at different historical periods,他是越人。,He is Vietnamese.,
越来越,yuè lái yuè,more and more,天气越来越热。,The weather is getting hotter and hotter.,
晕,yūn,confused,我有点晕。,I'm a bit dizzy.,
云,yún, to say,古人云：“知足常乐。”,"The ancients say, ""Contentment brings happiness.""",
允许,yǔn xǔ,to permit,这里不允许拍照。,No photos allowed here.,
运,yùn,to move,你的运气真好。,You're so lucky.,
运动,yùn dòng,to move,我喜欢运动。,I like to exercise.,
运动员,yùn dòng yuán,athlete,我想当运动员。,I want to be an athlete.,
运气,yùn qi,luck (good or bad),今天运气真好。,My luck is really good today.,
运输,yùn shū,to transport,我们每天运输货物。,We transport goods every day.,"<img src=""transport.jpg"" />"
运行,yùn xíng,(of celestial bodies etc) to move along one's course,电脑运行正常。,The computer is running normally.,
运用,yùn yòng,to use,我会运用这个技巧。,I will use this technique.,
运作,yùn zuò,to operate,公司运作很顺利。,The company runs smoothly.,
杂志,zá zhì,magazine,我喜欢看杂志。,I like reading magazines.,
砸,zá,to smash,他把花瓶砸了。,He smashed the vase.,
再,zài,again; once more; re-,请再试一次。,Please try again.,
再次,zài cì,once more; once again,我想再次试试。,I want to try again.,
再见,zài jiàn,goodbye,我们明天再见。,See you tomorrow.,
再说,zài shuō,to say again,明天再说吧。,Let's talk about it tomorrow.,
在,zài,to exist; to be alive,我在家。,I am at home.,"<img src=""alive.jpg"" />"
在场,zài chǎng,to be present; to be on the scene,他不在场。,He is not present.,
在乎,zài hu,to rest with; to lie in; to be due to (a certain attribute),我不在乎钱。,I don't care about money.,"<img src=""attribute.jpg"" />"
在家,zài jiā,to be at home,我今天在家。,I am at home today.,
在于,zài yú,to rest with; to lie in; to be due to (a certain attribute),成功在于坚持。,Success lies in persistence.,"<img src=""lie.jpg"" />"
咱们,zán men,we or us (including both the speaker and the person(s) spoken to),咱们走吧。,Let's go.,
暂时,zàn shí,temporary; provisional; for the time being,我暂时住在这里。,I am staying here temporarily.,"<img src=""temporary.jpg"" />"
遭到,zāo dào,to suffer,他遭到了批评。,He was criticized.,
遭遇,zāo yù,to meet with; to encounter (esp. misfortune or hardship),我遭遇了意外。,I encountered an accident.,"<img src=""encounter.jpg"" />"
糟糕,zāo gāo,too bad,糟糕，我迟到了。,"Oh no, I'm late.",
早,zǎo,early,你起得很早。,You get up very early.,
早餐,zǎo cān,breakfast,我想吃早餐。,I want to eat breakfast.,"<img src=""breakfast.jpg"" />"
早晨,zǎo chén,early morning,早晨喝杯咖啡吧。,Have a coffee in the morning.,
早就,zǎo jiù,already at an earlier time,我早就知道了。,I already knew.,
早上,zǎo shang,early morning,你早上几点起？,What time do you wake up in the morning?,
造,zào,to make,他造了一座桥。,He built a bridge.,
