Word,Meaning,Pinyin,Example,Translation
痛苦,đau khổ,tòngkǔ,痛苦的生活,cuộc sống đau khổ
模式,"kiểu mẫu, khuôn mẫu",móshì,模式图。,bản vẽ mẫu.
内幕,"nội tình, tình hình bên trong",nèimù,,
果断,"quả quyết, quả đoán",guǒduàn,他处理问题很果断。,anh ấy giải quyết vấn đề rất quyết đoán.
运用,vận dụng,yùnyòng,运用自如,vận dụng thành thạo
关系,mối quan hệ,guānxì,正确处理科学技术普及和提高的关系。,giải quyết chính xác mối liên quan giữa nâng cao và phổ cập khoa học kỹ thuật.
验收,nghiệm thu,yànshōu,,
歹徒,tên vô lại,dǎitú,,
附近,"kế bên, phụ cận",fùjìn,附近地区,vùng lân cận
居然,"lại, lại có thể",jūrán,我真没想到他居然会做出这件事来。,tôi không thể ngờ được anh ấy lại có thể gây ra chuyện này.
嚷,kêu gào,rǎng,别嚷了，人家都睡觉了。,"đừng gào lên nữa, mọi người đã ngủ cả rồi."
贫困,nghèo nàn,pínkùn,,
棒,gậy,bàng,木棒,gậy gỗ
魄力,"kiên quyết, quyết đoán",pòlì,,
片面,phiến diện,piànmiàn,片面性。,tính phiến diện.
化肥,phân bón,huàféi,,
踪迹,dấu vết,zōngjī,各个角落都找遍了，仍然不见踪迹。,tìm ở mọi xó xỉnh rồi mà vẫn không thấy bóng dáng nó đâu cả.
打电话,gọi điện thoại,dǎ diànhuà,,
客观,khách quan,kèguān,客观存在。,tồn tại khách quan.
忙,bận rộn,máng,繁忙。,bận rộn.
压制,áp chế,yāzhì,不要压制批评。,không nên phê bình một cách áp đặt
鞋,"giày, dép",xié,一双鞋 。,một đôi giầy
催,thúc giục,cuī,图书馆来信，催 他还书。,thư viện gởi thư đến giục anh ta trả sách.
航行,"đi, vận chuyển",hángxíng,,
操作,thao tác,cāozuò,操作方法。,phương pháp thao tác
参考,tham khảo,cānkǎo,参考书。,sách tham khảo
请教,"thỉnh giáo, xin chỉ bảo",qǐngjiào,虚心向别人请教。,"khiêm tốn, xin ý kiến chỉ bảo của mọi người."
屏障,rào chắn,píngzhàng,燕山山地和西山山地是北京天然的屏障。,vùng núi Tây Sơn và Yến Sơn là bức bình phong thiên nhiên che chở cho Bắc Kinh.
拣,,jiǎn,拣要紧的说。,lựa điều cần thiết mà nói.
管子,ống,guǎnzi,自来水管子,ống nước máy
改良,"thay đổi, cải tiến, cải tạo",gǎiliáng,改良土壤,cải tiến đất đai.
陡峭,"dốc đứng, dốc ngược",dǒuqiào,这个陡峭的山峰连山羊也上不去。,"vách núi dốc như thế này, ngay cả sơn dương cũng không lên được."
挂号,đăng đý,guàhào,看病要先挂号,khám bệnh nên lấy số trước.
支配,"an bài, sắp xếp",zhīpèi,合理支配时间。,sắp xếp thời gian hợp lý.
民主,dân chủ,mínzhǔ,,
掩盖,giấu,yǎngài,大雪掩盖着田野。,tuyết phủ kín cánh đồng
搂,ôm,lǒu,搂柴火。,đi ôm củi.
无可奈何,"đành chịu, không biết làm thế nào",wúkěnàihé,,
繁殖,"sinh sôi, nẩy nở",fánzhí,,
米饭,cơm,mǐfàn,,
变迁,thay đổi,biànqiān,陵谷变迁。,dâu biển đổi dời
词典,từ điển,cídiǎn,,
广大,rộng lớn,guǎngdà,广大区域,khu vực rộng
难看,xấu xí,nánkàn,这匹马毛都快掉光了， 实在难看。,"con ngựa này lông sắp rụng sạch cả rồi, quả thật khó coi."
最后,cuối cùng,zuìhòu,最后胜利一定属于我们。,thắng lợi cuối cùng nhất định thuộc về chúng ta.
放心,yên tâm,fàngxīn,你只管放心，出不了错。,"anh hãy yên tâm, không xảy ra việc gì đâu."
烘,"sưởi ấm, sấy",hōng,烘箱,máy sấy
焦急,"lo lắng, nôn nóng",jiāojí,焦急万分。,muôn phần lo lắng.
来不及,không kịp,láibují,还有一个钟头就开车，来不及出城看他去了。,"còn một giờ đồng hồ nữa là xe chạy, không kịp ra ngoại ô thăm anh ấy được."
搞,làm,gǎo,搞生产,làm sản xuất
流通,"lưu thông, thoáng, không bí",liútōng,流通空气。,không khí lưu thông.
固体,thể rắn,gùtǐ,,
发现,"khám phá, phát hiện",fāxiàn,发现新的基本粒子,tìm ra hạt cơ bản mới
相连,liên quan,xiānglián,,
特色,đặc tính,tèsè,民族特色,đặc sắc dân tộc
究竟,rốt cuộc,jiùjìng,大家都想知道个究竟。,mọi người đều muốn biết phần cuối.
太,quá,tài,太空,bầu trời cao rộng
哨,"đồn, trạm gác",shào,哨卡。,trạm gác.
急剧,"cấp tốc, nhanh chóng",jíjù,气温急剧下降。,nhiệt độ tụt xuống nhanh chóng.
祝,chúc,zhù,祝你健康,chúc anh mạnh khoẻ
分红,"chia hoa hồng, chia lãi",fēnhóng,年终分红,chia lợi nhuận cuối năm
淡水,nước ngọt,dànshuǐ,淡水湖,hồ nước ngọt
真,"thật sự, thực sự",zhēn,真心诚意。,chân thành; thành tâm thành ý
放弃,từ bỏ,fàngqì,放弃阵地,bỏ trận địa
出席,"dự họp, có mặt",chūxí,报告出席人数。,báo cáo số người đến dự hội nghị.
分,phân chia,fēn,分裂,phân liệt; rạn nứt
暂且,,zànqiě,暂且如此,tạm thời như thế
解散,giải tán,jiěsàn,队伍解散后，大家都在操场上休息喝水。,"sau khi giải tán đội ngũ, mọi người nghỉ ngơi uống nước trên thao trường."
馋,"thèm, ham",chán,嘴馋。,miệng thèm ăn.
停止,dừng lại,tíngzhǐ,停止演习,đình chỉ diễn tập
土地,đất,tǔdì,土地肥沃,ruộng đất phì nhiêu; đất đai phì nhiêu
人性,nhân tính,rénxìng,不通人性。,không hiểu tính người.
天文,thiên văn học,tiānwén,,
看法,"quan điểm, cách nhìn",kànfǎ,谈两点看法。,bàn về hai quan điểm.
抗议,kháng nghị,kàngyì,,
换,thay đổi,huàn,交换,trao đổi
上,trên,shàng,上部。,phần trên.
咀嚼,"nhai kỹ, nghiền ngẫm",jǔjué,,
高潮,"cao trào, đỉnh điểm",gāocháo,,
序言,lời nói đầu,xùyán,,
建议,"đề xuất, kiến nghị",jiànyì,我建议休会一天。,tôi đề nghị nghỉ họp một ngày.
合伙,"kết hội, chung vốn",héhuǒ,合伙经营,hùn vốn kinh doanh
衔接,"gắn liền, nối tiếp",xiánjiē,两个阶段必须衔接。,hai giai đoạn phải nối tiếp nhau.
手机,điện thoại di động,shǒujī,,
钞票,giấy bạc,chāopiào,,
假如,nếu như,jiǎrú,假如明天不下雨，我一定去。,"nếu ngày mai trời không mưa, tôi nhất định đi."
黑板,bảng đen,hēibǎn,,
安装,lắp đặt,ānzhuāng,安装自来水管,lắp đặt ống nước
危险,nguy hiểm,wéixiǎn,危险期,thời kì nguy hiểm
违背,vi phạm,wéibèi,违背规章制度,làm trái chế độ quy định
手指,ngón tay,shǒuzhǐ,,
倾斜,"nghiêng, lệch, xiêu vẹo",qīngxié,倾斜度。,độ nghiêng.
挣钱,kiếm tiền,zhèng qián,,
观察,"quan sát, xem xét",guānchá,观察地形,quan sát địa hình
水泥,xi măng,shuǐní,,
学生,học sinh,xuéshēng,,
接着,"sau dó, tiếp theo",jiēzhe,我往下扔，你在下面接着。,"tôi ném xuống, anh ở dưới chụp lấy."
世纪,thế kỷ,shìjì,,
朋友,người bạn,péngyǒu,您好，亲爱的朋友!,xin chào các bạn thân mến của tôi!
习惯,thói quen,xíguàn,习惯成自然。,quen rồi trở thành tự nhiên.
浏览,xem lướt qua,liúlǎn,浏览市容。,nhìn lướt qua bộ mặt của thành phố.
成交,giao dịch,chéngjiāo,,
轮流,thay phiên nhau,lúnliú,轮流值日。,luân phiên trực ban.
不得了,cực kỳ,bùdéliǎo,哎呀，不得了，着火了!,"Trời ơi, nguy quá, cháy rồi!"
说话,nói,shuōhuà,这人不爱说话儿。,người này không thích nói chuyện.
拔苗助长,dũng tốc bất đạt,bámiáozhùzhǎng,,
难怪,"thảo nào, chẳng trách",nánguài,难怪他今天这么高兴， 原来新机器试验成功了。,"hoá ra là máy mới thử nghiệm thành công, thảo nào hôm nay anh ấy vui vẻ như vậy."
充分,"dồi dào, dầy đủ",chōngfèn,你的理由不充分。,lí do của anh không đầy đủ.
捞,"kiếm, moi, vét, mò",lāo,打捞。,vét.
作品,tác phẩm,zuòpǐn,绘画作品,tác phẩm hội hoạ
责怪,khiển trách,zéguài,是我没说清楚，不能责怪他。,"tại tôi không nói rõ, không nên trách anh ấy."
连锁,"dây chuyền, móc vào nhau",liánsuǒ,连锁反应。,phản ứng dây chuyền.
成就,thành tựu,chéngjiù,成就革命大业。,hoàn thành sự nghiệp cách mạng lớn lao.
感动,cảm động,gǎndòng,看到战士舍身救人的英勇行为，群众深受感动。,"nhìn thấy những hành động anh dũng xả thân cứu người của chiến sĩ, quần chúng vô cùng xúc động."
台,cỗ (máy) buổi (kịch),tái,瞭望台,đài quan sát
频繁,thường xuyên,pínfán,交往频繁。,đi lại nhiều lần.
血压,huyết áp,xiěyā,,
明星,minh tinh,míngxīng,电影明星。,ngôi sao điện ảnh.
荣誉,"vinh dự,vẻ vang",róngyù,荣誉感。,niềm vinh dự.
气象,khí tượng học,qìxiàng,一片新气象。,một cảnh tượng mới.
桔子,quả quýt,júzi,,
威力,"sức mạnh, uy lực",wēilì,威力圈,phạm vi sức mạnh
选举,bầu cử,xuǎnjǔ,,
嘉宾,khách,jiābīn,,
主人,"chủ nhâ, chủ sở hữu",zhǔrén,磨坊主人,chủ cơ sở xay xát
接近,tiếp cận,jiējìn,接近群众。,gần gũi với quần chúng.
肆无忌惮,"trắng trợn, không kiêng nể gì cả",sìwújìdàn,,
零,"số không, lẻ",líng,零用。,tiêu vặt.
误会,hiểu lầm,wùhuì,我误会了他的意思。,tôi đã hiểu lầm ý anh ấy.
联络,"liên lạc, liên hệ",liánluò,联络员。,liên lạc viên; giao liên.
古典,cổ điển,gǔdiǎn,古典哲学,triết học cổ điển
灯笼,đèn lồng,dēnglóng,,
根,"nguồn gốc, rễ cây",gēn,这孩子是他们家的根。,đứa bé này là hậu thế của gia đình họ.
秤,cái cân,chèng,,
现代,hiện đại,xiàndài,,
校长,hiệu trưởng,xiàozhǎng,,
和蔼,"hòa nhã, dễ gần",hé'ǎi,和蔼可亲,hoà nhã dễ gần
友谊,tiình bạn,yǒuyì,深厚的友谊,tình hữu nghị nồng nàn
跟前,"cạnh, gần, bên cạnh",gēnqián,请你到我跟前来。,mời anh hãy đến gần tôi.
则,thì,zé,准则,chuẩn tắc
辩解,biện giải,biànjiě,错了就错了，不要辩解。,"sai rồi thì thôi, đừng thanh minh thanh nga nữa"
真实,"chân thật, chân thực",zhēnshí,真实情况,tình huống thật
诞辰,ngày sinh nhật,dànchén,,
火柴,diêm,huǒchái,,
观光,tham quan,guānguāng,观光客,khách tham quan
隐私,bảo mật,yǐnsī,,
游览,chuyến du lịch,yóulǎn,游览黄山,du lịch Hoàng sơn.
泡沫,bọt,pàomò,,
提议,đề xuất,tíyì,有人提议，今天暂时休会。,"có người đề nghị, hôm nay tạm nghỉ họp."
补贴,tiền trợ cấp,bǔtiē,,
分布,"phân phối, phân phát",fēnbù,人口分布图,bản đồ phân bố dân số
雪,tuyết,xuě,雪白,trắng như tuyết
起码,ít nhất,qǐmǎ,起码的条件。,điều kiện tối thiểu.
字典,tự điển,zìdiǎn,,
写,viết,xiě,写草字。,viết chữ thảo
拄,chống (gậy),zhǔ,拄着拐棍儿走。,chống gậy đi.
搓,"xoay, xoắn, vặn",cuō,急得他直搓 手。,cuống đến mức nó chỉ biết xoa tay.
正气,bầu không khí lành mạnh,zhèngqì,正气上升，邪气下降。,"chính khí dâng lên, tà khí hạ xuống."
革命,cách mạng,gémìng,工人阶级是最革命的阶级。,giai cấp công nhân là giai cấp có ý thức cách mạng nhất.
密封,"niêm phong, dán kín",mìfēng,用白蜡密封瓶口以防药物发潮或挥发。,dùng sáp bịt kín miệng chai đề phòng thuốc bị ẩm hoặc bị bay hơi.
界限,giới hạn,jièxiàn,划清无产阶级和资产阶级的思想界限。,vạch rõ ranh giới giữa giai cấp vô sản và giai cấp tư sản.
逮捕,bắt giữ,dàibǔ,逮捕归案,bắt tội phạm về quy án.
敏捷,nhanh nhẹn,mǐnjié,,
捡,nhặt,jiǎn,捡粪。,nhặt phân.
奇妙,"kỳ diệu, tinh xảo",qímiào,,
配合,phối hợp,pèihé,他两人的双打配合得很好。,"hai người họ đánh đôi, phối hợp rất tốt."
计划,kế hoạch,jìhuà,计划性。,có kế hoạch.
温柔,dịu dàng,wēnróu,,
生日,sinh nhật,shēngrì,七月一日是中国共产党的生日。,ngày 1-7 là ngày thành lập Đảng cộng sản Trung Quốc.
敢,dám,gǎn,勇敢,dũng cảm
差不多,"xấp xỉ, gần giống nhau",chàbùduō,这两种颜色差不多。,hai màu này gần giống nhau.
志愿者,người tình nguyện viên,zhìyuàn zhě,,
的,của,de,铁的纪律,kỷ luật sắt
至今,cho đến nay,zhìjīn,他回家以后至今还没有来信。,sau khi anh ấy về nhà đến bây giờ vẫn chưa gửi thơ đến.
忧郁,"buồn thương, sầu muộn",yóuyù,神情忧郁,vẻ sầu muộn
出身,xuất thân,chūshēn,店员出身。,xuất thân là người bán hàng.
沉淀,chất kết tủa,chéndiàn,,
过度,"quá độ, quá mức",guòdù,过度疲劳,quá mệt mỏi
动物,động vật,dòngwù,,
确实,thực sự,quèshí,确实性。,tính xác thực.
档次,"đẳng cấp, cấp bậc",dàngcì,商品种类很多，档次全。,"chủng loại sản phẩm rất nhiều, có mọi cấp bậc."
牲畜,chăn nuôi,shēngchù,牲畜家禽。,súc vật gia cầm.
呼啸,"gào thét, rít, hò hét",hūxiào,北风呼啸,gió bấc rít
住宅,nhà ở,zhùzhái,住宅区,khu nhà ở
颗,"hạt, hòn, viên",kē,一颗珠子。,một viên ngọc.
爱不释手,quyến luyến không dời,àibùshìshǒu,,
放,"đặt, thả",fàng,把俘虏放回去。,thả tù binh
夜,đêm,yè,夜晚,đêm
俗话,tục ngữ,súhuà,,
七,"bảy, số bảy",qī,,
精打细算,tính toán tỉ mỉ,jīngdǎxìsuàn,,
粘贴,dán,zhāntiē,粘贴标语,dán biểu ngữ
垄断,"lũng đoạn, độc quyền",lǒngduàn,垄断市场。,lũng đoạn thị trường.
局部,"cục bộ, bộ phận",júbù,局部麻醉。,bộ phận gây mê.
剪刀,"kéo, cái kéo",jiǎndāo,,
开辟,"mở,sáng lập,khai thác",kāipì,开辟航线。,mở tuyến đường bay.
屑,"vụn, nhỏ",xiè,铁屑 。,mạt sắt
气概,"khí khái, khí phách",qìgài,无产阶级有战胜一切困难的英雄气概。,giai cấp vô sản có khí phách anh hùng chiến thắng tất cả mọi khó khăn.
始终,từ đầu đến cuối,shǐzhōng,贯彻始终。,quán triệt từ đầu đến cuối.
座右铭,"lời răn, lời cách ngôn",zuòyòumíng,,
一律,luôn luôn,yīlǜ,千篇一律,bài nào cũng giống bài nào; thơ văn đơn điệu nhàm chán.
时髦,hợp thời trang,shímáo,赶时髦。,chạy theo mốt.
支流,"nhánh sông, dòng chảy",zhīliú,,
眼下,trước mắt,yǎnxià,,
对话,cuộc đối thoại,duìhuà,精彩的对话。,lời đối thoại đặc sắc.
夫妇,,fūfù,新婚夫妇,vợ chồng mới cưới
柴油,dầu ma dút,cháiyóu,,
任意,tự ý,rènyì,任意行动。,tuỳ ý hành động.
据说,nghe nói,jùshuō,,
平,dựa vào,píng,平坦。,bằng phẳng.
骄傲,kiêu ngạo,jiāo'ào,骄傲自满。,kiêu ngạo tự mãn.
提前,trước,tíqián,提前动身,lên đường sớm; lên đường trước.
洗衣机,máy gặt,xǐyījī,,
国防,quốc phòng,guófáng,巩固国防,củng cố quốc phòng
渗透,thẩm thấu,shèntòu,雨水渗透了泥土。,nước mưa ngấm vào đất bùn.
兑换,trao đổi,duìhuàn,兑换现金,đổi tiền mặt
身份,thân phận,shēnfèn,,
兴趣,hứng thú,xìngqù,我对下棋不感兴趣。,tôi không thích đánh cờ; tôi không có hứng thú đối với việc đánh cờ.
转告,"chuyển lời, nói lại",zhuǎngào,他让我转告你，他明天不能来了。,"anh ấy nhờ tôi nói lại với anh, ngày mai anh ấy không đến được."
谈判,cuộc đàm phán,tánpàn,和平谈判,đàm phán hoà bình
试卷,bài thi,shìjuàn,,
存,"tồn tại, bảo tồn",cún,残存 。,còn sót lại.
品种,"giống, loại, chủng loại",pǐnzhǒng,植物的品种,giống cây trồng
终于,cuối cùng,zhōngyú,试验终于成功了。,thí nghiệm cuối cùng đã thành công.
钢铁,sắt thép,gāngtiě,钢铁战士,chiến sĩ kiên cường
参照,"tham chiếu, bắt trước",cānzhào,参照执行。,chấp hành theo
抵达,"đến nơi, tới, đạt được",dǐdá,抵达目的,đạt được mục đích
锁,khóa,suǒ,锁门。,khoá cửa.
犹如,như,yóurú,灯烛辉煌，犹如白昼。,"đèn đuốc sáng trưng, giống như ban ngày."
着凉,"cảm lạnh,nhiễm lạnh",zháoliáng,外面挺冷，当心着凉。,"bên ngoài rất lạnh, cẩn thận kẻo bị cảm lạnh đấy."
紧迫,"caấp bách, gấp rút",jǐnpò,任务紧迫。,nhiệm vụ cấp bách.
缴纳,"nộp, giao nộp",jiǎonà,缴纳公粮。,nộp công lương.
胃,dạ dày,wèi,,
代价,"giá phải trả, chi phí",dàijià,胜利是用血的代价换来的。,thắng lợi phải trả giá bằng máu.
历史,lịch sử,lìshǐ,地球的历史。,lịch sử của trái đất.
飞禽走兽,"chim bay cá nhảy, chim trời  cá nước",fēiqín zǒushòu,,
操心,lo lắng,cāoxīn,为国事操心。,lao tâm khổ trí vì việc nước
趴,"nằm bò, nằm sấp",pā,趴在地上射击。,nằm sấp trên mặt đất bắn súng.
了解,hiểu,liǎojiě,只有眼睛向下， 才能真正了解群众的愿望和要求。,chỉ có tận mắt xem xét thì mới thực sự hiểu được những tâm nguyện và nhu cầu của quần chúng.
固有,"vốn có, sẵn có, cố hữu",gùyǒu,固有文化,văn hoá bản địa
脖子,cổ,bózi,,
考察,"khảo sát, quan sát",kǎochá,他们到各地考察水利工程。,bọn họ đã đi đến nhiều nơi để khảo sát các công trình thuỷ lợi.
恶化,"chuyển biến xấu, thay đổi xấu đi",èhuà,防止病情恶化。,ngăn ngừa bệnh tình chuyển biến xấu đi.
翻译,phiên dịch,fānyì,翻译外国小说。,dịch tiểu thuyết nước ngoài
耳朵,tai,ěrduǒ,,
明显,rõ ràng,míngxiǎn,字迹明显。,nét chữ rõ ràng.
皮肤,da,pífū,,
鉴别,"phân biệt, giám định",jiànbié,鉴别古物。,giám định đồ cổ.
错,sai,cuò,交错 。,đan chéo vào nhau.
侮辱,"làm nhục, sỉ nhục",wǔrǔ,,
卑鄙,dđáng khinh,bēibǐ,卑鄙无耻。,bỉ ổi vô liêm sỉ
幻想,ảo tưởng,huànxiǎng,科学幻想,khoa học giả tưởng
循序渐进,tiêến hành theo trật tự,xúnxùjiànjìn,,
调皮,nghịch ngợm,tiáopí,,
打工,"làm công, làm thuê",dǎgōng,打工仔,người làm công; thằng làm công
伪造,giả mạo,wèizào,伪造证件,giấy tờ giả
苍白,tái nhợt,cāngbái,脸色苍白。,sắc mặt nhợt nhạt
波浪,sóng,bōlàng,波浪起伏。,sóng nhấp nhô
怪不得,chẳng trách,guàibùdé,天气预报说今晚有雨，怪不得这么闷热。,"dự báo thời tiết nói hôm nay có mưa, thảo nào trời oi bức quá."
洪水,lũ,hóngshuǐ,洪水泛滥,nước lũ tràn lan; tràn ngập.
成为,trở thành,chéngwéi,在党的培养教育下，他成为一名优秀的共青团员。,"dưới sự bồi dưỡng, giáo dục của Đảng, anh ta đã trở thành một đoàn viên thanh niên ưu tú."
俩,cả hai,liǎ,咱俩。,hai chúng ta.
表现,biểu hiện,biǎoxiàn,在生产竞赛中他们表现了非常热情积极的态度。,bọn họ thể hiện thái độ vô cùng nhiệt tình tích cực trong thi đua sản xuất
辣,cay,là,酸甜苦辣。,chua ngọt đắng cay.
肩膀,vai,jiānbǎng,肩膀儿硬(能担负重大责任)。,bờ vai rắn chắc (ví với đảm
著作,tác phẩm,zhùzuò,从事著作多年。,sáng tác đã nhiều năm
风险,rủi ro,fēngxiǎn,担风险,gánh lấy nguy hiểm.
延续,tiếp tục,yánxù,,
州,châu ( đơn vị hành chính),zhōu,,
欲望,ham muốn,yùwàng,求知的欲望,ham học hỏi; ham muốn tìm hiểu tri thức.
争先恐后,chen lấn lên trước sợ rớt lại sau,zhēngxiānkǒnghòu,,
片刻,chốc lát,piànkè,,
压力,áp lực,yālì,舆论的压力,áp lực của dư luận
假,"sai, giả",jiǎ,假话。,lời nói dối.
蔬菜,rau,shūcài,,
灵活,linh hoạt,línghuó,手脚灵活。,tay chân nhanh nhẹn.
鸽子,chim bồ câu,gēzi,,
乐趣,"niềm vui, hứng thú",lèqù,工作中的乐趣是无穷的。,niềm vui trong công việc thật là vô tận.
继承,"kế thừa, kế tục",jìchéng,继承先烈的遗业。,kế thừa sự nghiệp của các bậc tiền bối.
猪,"lợn, heo",zhū,,
遭受,"gặp, bị, chịu",zāoshòu,遭受打击,bị đả kích
胜负,"thắng  bại, được thua",shèng fù,从长远看，战争的胜负决定于战争的性质。,nhìn về lâu dài thì sự thắng bại của cuộc chiến này còn phụ thuộc vào tính chất của cuộc chiến.
询问,hỏi,xúnwèn,,
叫,gọi,jiào,鸡叫。,gà gáy.
蒙,lừa gạt,méng,欺上蒙下。,dối trên lừa dưới.
仍旧,"nhuư cũ, như trước",réngjiù,他虽然遇到许多困难，可是意志仍旧那样坚强。,"mặc dù anh ấy gặp nhiều khó khăn, nhưng ý chí vẫn kiên cường như trước."
凶恶,hung dữ,xiōng'è,凶恶的面目。,mặt mũi hung ác; mặt mày hung ác.
表面,"mặt ngoài, bề ngoài",biǎomiàn,你不能只看事情的表面。,anh không thể chỉ nhìn bề ngoài của sự việc
斜,nghiêng,xié,倾斜 。,nghiêng
打官司,kiện,dǎ guānsī,,
粉末,"bụi, phấn,bột",fěnmò,金属粉末,bụi kim loại
贷款,cho vay,dàikuǎn,向银行贷款五十万元。,vay ngân hàng 500.000 đồng.
表扬,khen ngợi,biǎoyáng,表扬劳动模范。,biểu dương lao động tiên tiến
权威,"uy tín, quyền uy",quánwēi,权威著作。,tác phẩm quyền uy.
顺利,thuận lợi,shùnlì,工作顺利。,công tác thuận lợi.
赋予,"giao cho, trao cho",fùyǔ,这是历史赋予我们的重任。,đây là nhiệm vụ quan trọng mà lịch sử đã trao cho chúng ta.
灵敏,nhanh nhẹn,língmǐn,动作灵敏。,động tác nhanh nhẹn.
摸,chạm,mō,我摸了摸他的脸，觉得有点儿发烧。,"tôi sờ tay lên mặt anh ấy, cảm thấy anh ấy hơi bị sốt."
峡谷,"khe hẹp, hẻm núi, khe sâu",xiágǔ,,
瀑布,thác nước,pùbù,,
注册,đăng ký,zhùcè,注册商标,đăng ký nhãn hiệu
耸,đứng thẳng,sǒng,高耸入云。,cao vút tầng mây.
坚强,"mạnh mẽ, kiên cường",jiānqiáng,意志坚强。,ý chí kiên cường.
层,"tầng, lớp",céng,层峦叠嶂。,núi non trùng điệp
变故,"biến cố, tai nạn",biàngù,发生了变故。,xảy ra tai nạn
是否,"phải chăng, hay không",shìfǒu,他是否能来，还不一定。,anh ấy có đến được hay không vẫn chưa dứt khoát.
聊天,trò chuyện,liáotiān,,
收获,thu hoạch,shōuhuò,春天播种，秋天收获。,"mùa xuân gieo trồng, mùa thu gặt hái."
托运,ủy thác vận chuyển,tuōyùn,托运行李,gửi chuyển hành lý
烟花爆竹,"chỉ cảnh cháy nổ, nguy hiểm",yānhuā bàozhú,,
认真,"nghiêm túc, chăm chỉ",rènzhēn,人家说着玩儿，你怎么就认起真来了?,"mọi người nói đùa thôi, sao bạn lại tin là thật?"
拘留,"tạm giam, tạm giữ",jūliú,,
规律,quy luật,guīlǜ,基本经济规律。,quy luật kinh tế cơ bản.
称赞,khen ngợi,chēngzàn,,
刚刚,vừa mới,gānggāng,不多不少，刚刚一杯。,"không nhiều không ít, vừa đủ một ly."
奔波,nbôn ba,bēnbō,老先生奔波一世。,ông cụ đã bôn ba cả cuộc đời.
如何,"làm sao, như thế nào",rúhé,近况如何?,tình hình gần đây như thế nào?
挖掘,khai quật,wājué,挖掘地下的财富。,khai thác của cải dưới lòng đất.
命名,đặt tên,mìngmíng,命名典礼。,lễ đặt tên.
胡乱,"qua loa, qua quýt, tùy tiện",húluàn,胡乱涂上几笔。,vẽ qua loa vài đường.
枯燥,"khô khan, đơn điệu",kūzào,生活枯燥。,cuộc sống đơn điệu.
迫害,bức hại,pòhài,,
死亡,sự chết,sǐ wáng,死亡率。,tỉ lệ tử vong.
洽谈,"trò chuyện, bàn luận",qiàtán,,
正常,bình thường,zhèngcháng,精神正常,tinh thần bình thường.
北方,phương bắc,běifāng,,
中午,buổi trưa,zhōngwǔ,,
采纳,"tiếp nhận, tiếp thu",cǎinà,采纳群众的意见。,tiếp thu ý kiến của quần chúng
夏令营,trại hè,xiàlìngyíng,,
间谍,gián điệp,jiàndié,,
推测,"suy nghĩ, dự đoán",tuīcè,无从推测,không thể suy đoán
机场,sân bay,jīchǎng,,
含义,"hàm nghĩa, ý nghĩa",hányì,含义深奥。,ý nghĩa sâu sắc.
风暴,gió bão,fēngbào,革命的风暴,bão táp cách mạng
妻子,vợ,qīzi,,
毛病,"lỗi, tật xấu",máo bìng,孩子有毛病，不要让他受凉了。,"thằng bé bị ốm, đừng để nó nhiễm lạnh."
花,hoa,huā,一朵花儿。,một bông hoa
收音机,radio,shōuyīnjī,,
机密,"cơ mật, bí mật",jīmì,机密文件。,văn kiện cơ mật.
珍稀,hiếm,zhēnxī,大熊猫、金丝猴、野牦牛是中国的珍稀动物。,"gấu trúc, khỉ lông vàng, trâu lùn hoang, đều là động vật quý hiếm của Trung Quốc."
硕士,thạc sỹ,shuòshì,,
淡季,"trái mùa, mùa ế hàng",dànjì,蔬菜淡季,rau quả trái mùa
清除,"loại bỏ, quét sạch",qīngchú,清除路上的积雪。,quét sạch tuyết trên đường.
光临,sự hiện diện,guānglín,敬请光临,xin mời đến dự
修养,nghỉ ngơi điều dưỡng,xiūyǎng,理论修养,trình độ lý luận
场,,chǎng,赶场 。,họp chợ
扇子,cái quạt,shànzi,扇(shān) 扇子。,quạt (bằng quạt).
后代,con cháu,hòudài,这些远古的事，大都是后代人们的推测。,"những việc xa xưa đó, phần lớn do người đời sau suy đoán ra."
以至,"cho đến, cứ thế",yǐzhì,实践、认识、再实践、再认识，这种形式，循环往复以至无穷，而实践和认识之每一循环的内容，都比 较地进到了高一级的程度。,"trải qua thực tế rồi lại nhận thức, qua thực tế rồi lại nhận thức, loại hình nhận thức này cứ lặp đi lặp lại mãi, nhưng nội dung nhận thức qua mỗi vòng lặp nhận thức và thực tiễn sẽ đạt đến một mức độ cao hơn."
故障,"trục trặc, hỏng hóc",gùzhàng,发生故障,xảy ra sự cố
最好,tốt nhât,zuì hǎo,煮咖啡的最好方法。,phương pháp pha cà phê ngon nhất
症状,"bệnh trạng, triệu chứng",zhèngzhuàng,,
坏,"hỏng, xấu",huài,工作做得不坏。,công việc làm không tồi.
彼此,lẫn nhau,bǐcǐ,不分彼此。,không phân biệt bên này với bên kia
投掷,"ném, vứt, quăng",tóuzhí,投掷标枪,ném lao; phóng lao
所,"chỗ, chốn, nơi",suǒ,场所。,nơi.
脆弱,"mỏng manh, yếu đuối",cuìruò,感情脆弱。,tình cảm yếu đuối.
黄,màu vàng,huáng,黄货,vàng
安静,yên lặng,ānjìng,病人需要安静,người bệnh cần phải được yên tĩnh
筛选,"sàng lọc, sàng chọn",shāixuǎn,,
充沛,"tràn đầy, dồi dào",chōngpèi,精力充沛。,tinh lực dồi dào.
